mode,threshold,trading_date,trades,wins,daily_return,win_rate
confirmation,0.0015,2026-03-02,12,9,0.016793890027600317,0.75
confirmation,0.0015,2026-03-03,4,4,0.032256795664090836,1.0
confirmation,0.0015,2026-03-04,6,4,0.014662974823228451,0.6666666666666666
confirmation,0.0015,2026-03-05,11,5,0.0009420056613947112,0.45454545454545453
confirmation,0.0015,2026-03-06,3,0,-0.007536404708934266,0.0
confirmation,0.0025,2026-03-02,12,9,0.016793890027600317,0.75
confirmation,0.0025,2026-03-03,4,4,0.032256795664090836,1.0
confirmation,0.0025,2026-03-04,5,4,0.01904111344780999,0.8
confirmation,0.0025,2026-03-05,9,5,0.003488795049066698,0.5555555555555556
confirmation,0.0025,2026-03-06,3,0,-0.007536404708934266,0.0
confirmation,0.0035,2026-03-02,10,7,0.014258648623645264,0.7
confirmation,0.0035,2026-03-03,3,3,0.018558969960511162,1.0
confirmation,0.0035,2026-03-04,5,4,0.01904111344780999,0.8
confirmation,0.0035,2026-03-05,9,5,0.003488795049066698,0.5555555555555556
confirmation,0.0035,2026-03-06,3,0,-0.007536404708934266,0.0
confirmation,0.005,2026-03-02,10,7,0.014258648623645264,0.7
confirmation,0.005,2026-03-03,3,3,0.018558969960511162,1.0
confirmation,0.005,2026-03-04,5,4,0.01904111344780999,0.8
confirmation,0.005,2026-03-05,9,5,0.003488795049066698,0.5555555555555556
confirmation,0.005,2026-03-06,2,0,-0.009844184514477189,0.0
confirmation,0.0075,2026-03-02,9,6,0.014304446569090233,0.6666666666666666
confirmation,0.0075,2026-03-03,2,2,0.017165663803236322,1.0
confirmation,0.0075,2026-03-04,5,4,0.01904111344780999,0.8
confirmation,0.0075,2026-03-05,8,4,0.0013941282531456409,0.5
confirmation,0.0075,2026-03-06,1,0,-0.015552719732014698,0.0
confirmation,0.01,2026-03-02,9,6,0.014304446569090233,0.6666666666666666
confirmation,0.01,2026-03-03,2,2,0.017165663803236322,1.0
confirmation,0.01,2026-03-04,5,4,0.01904111344780999,0.8
confirmation,0.01,2026-03-05,8,4,0.0013941282531456409,0.5
confirmation,0.01,2026-03-06,1,0,-0.015552719732014698,0.0
reversal,0.0015,2026-03-02,3,1,-0.03330273488935581,0.3333333333333333
reversal,0.0015,2026-03-03,8,8,0.030744041331273272,1.0
reversal,0.0015,2026-03-04,8,7,0.020563056482505185,0.875
reversal,0.0015,2026-03-05,4,4,0.024935476723555894,1.0
reversal,0.0015,2026-03-06,11,11,0.03132400184446617,1.0
reversal,0.0025,2026-03-02,2,1,-0.028869123884611107,0.5
reversal,0.0025,2026-03-03,8,8,0.030744041331273272,1.0
reversal,0.0025,2026-03-04,8,7,0.020563056482505185,0.875
reversal,0.0025,2026-03-05,4,4,0.024935476723555894,1.0
reversal,0.0025,2026-03-06,11,11,0.03132400184446617,1.0
reversal,0.0035,2026-03-02,2,1,-0.028869123884611107,0.5
reversal,0.0035,2026-03-03,8,8,0.030744041331273272,1.0
reversal,0.0035,2026-03-04,7,6,0.02125255117532992,0.8571428571428571
reversal,0.0035,2026-03-05,4,4,0.024935476723555894,1.0
reversal,0.0035,2026-03-06,10,10,0.031038154513104304,1.0
reversal,0.005,2026-03-02,2,1,-0.028869123884611107,0.5
reversal,0.005,2026-03-03,6,6,0.020253509741259557,1.0
reversal,0.005,2026-03-04,5,5,0.024462689105025293,1.0
reversal,0.005,2026-03-05,3,3,0.026032952576776246,1.0
reversal,0.005,2026-03-06,10,10,0.031038154513104304,1.0
reversal,0.0075,2026-03-02,2,1,-0.028869123884611107,0.5
reversal,0.0075,2026-03-03,4,4,0.021453772743081474,1.0
reversal,0.0075,2026-03-04,5,5,0.024462689105025293,1.0
reversal,0.0075,2026-03-05,3,3,0.026032952576776246,1.0
reversal,0.0075,2026-03-06,10,10,0.031038154513104304,1.0
reversal,0.01,2026-03-02,1,0,-0.05834425590704584,0.0
reversal,0.01,2026-03-03,3,3,0.019620136565808494,1.0
reversal,0.01,2026-03-04,3,3,0.014200332298761388,1.0
reversal,0.01,2026-03-05,2,2,0.01729756128057378,1.0
reversal,0.01,2026-03-06,8,8,0.03356208613363135,1.0
