mode,threshold,trades,long_trades,short_trades,win_rate,avg_return,median_return,profit_factor,portfolio_return,max_drawdown,positive_days,trading_days,rank_score
reversal,0.0025,33,19,14,0.9393939393939394,0.02415225642195021,0.026954681274900416,13.934945836604939,0.07984168719816132,-0.02886912388461116,4,5,1.36792532468603
reversal,0.0035,31,17,14,0.9354838709677419,0.024100173972049676,0.026954681274900416,13.124807024222726,0.08027173370769236,-0.02886912388461116,4,5,1.3179842085922997
reversal,0.005,26,13,13,0.9615384615384616,0.02209910227172436,0.026034418263020987,10.848041596078453,0.07378677758861918,-0.02886912388461116,4,5,1.1308002190577409
reversal,0.0075,24,13,11,0.9583333333333334,0.022452945482900083,0.026034418263020987,10.236053887603461,0.07505001905623443,-0.02886912388461116,4,5,1.1014481908018598
reversal,0.0015,34,19,15,0.9117647058823529,0.02220160308898564,0.026034418263020987,8.273050815193738,0.07491176672555278,-0.033302734889355756,4,5,1.015821731788941
reversal,0.01,17,9,8,0.9411764705882353,0.02036523307746248,0.020146904512067243,6.933899694743606,0.02385601365373846,-0.05834425590704584,4,5,0.5301202452227994
confirmation,0.0025,33,19,14,0.6666666666666666,0.01316816277398226,0.011593223035316624,6.135103012035428,0.06522045492808881,-0.007536404708934241,4,5,0.32710825674547556
confirmation,0.0015,36,21,15,0.6111111111111112,0.011285682224318805,0.010513413617960047,4.599002132428531,0.05795206916664597,-0.007536404708934241,4,5,0.1998334121392113
confirmation,0.005,29,16,13,0.6551724137931034,0.010523439647230416,0.01072881982981882,4.735257939523622,0.04602646740415017,-0.009844184514477217,4,5,0.1821143895252046
confirmation,0.0035,30,16,14,0.6333333333333333,0.010075296822394454,0.010513413617960047,4.571816491850424,0.04846446627239387,-0.007536404708934352,4,5,0.1662771538428296
confirmation,0.0075,25,15,10,0.64,0.010155088810419407,0.010298007406101272,4.27301366423418,0.03645208819483314,-0.015552719732014664,4,5,0.1417146482200071
confirmation,0.01,25,15,10,0.64,0.010155088810419407,0.010298007406101272,4.27301366423418,0.03645208819483314,-0.015552719732014664,4,5,0.1417146482200071
