mode,threshold,trading_date,symbol,direction,opening_return_10m,entry_price,exit_price,trade_return,result
confirmation,0.0015,2026-03-02,APO,LONG,0.017337643255950663,103.86,106.46,0.025033699210475602,WIN
confirmation,0.0015,2026-03-02,APP,LONG,0.015263711064398944,425.03,432.835,0.018363409641672268,WIN
confirmation,0.0015,2026-03-02,BAC,LONG,0.006558721049395366,49.11,49.79,0.013846467114640548,WIN
confirmation,0.0015,2026-03-02,BX,LONG,0.031459655485040816,113.77,115.29,0.013360288300958256,WIN
confirmation,0.0015,2026-03-02,F,SHORT,-0.02769784172661871,13.515,13.37,0.01072881982981882,WIN
confirmation,0.0015,2026-03-02,FFIV,LONG,0.003009934630867628,271.585,277.95,0.02343649317893104,WIN
confirmation,0.0015,2026-03-02,LYB,LONG,0.025600561108188646,58.49,57.88,-0.010429133185159811,LOSS
confirmation,0.0015,2026-03-02,MAS,SHORT,-0.03751903641146348,69.52,69.795,-0.003955696202531727,LOSS
confirmation,0.0015,2026-03-02,TEL,SHORT,-0.012179401698004244,222.23,211.885,0.046550870719524816,WIN
confirmation,0.0015,2026-03-02,WDAY,LONG,0.029408416499070222,135.64,133.995,-0.012127690946623249,LOSS
confirmation,0.0015,2026-03-02,WFC,LONG,0.0025784541852713616,79.71,82.54,0.03550370091582011,WIN
confirmation,0.0015,2026-03-02,XYZ,LONG,0.016762530813475784,61.87,64.42,0.041215451753677135,WIN
confirmation,0.0015,2026-03-03,COHR,SHORT,-0.011125061030899053,283.55,280.63,0.010298007406101272,WIN
confirmation,0.0015,2026-03-03,LITE,SHORT,-0.026105545886835002,710.68,693.6,0.024033320200371376,WIN
confirmation,0.0015,2026-03-03,LRCX,SHORT,-0.00728687022218244,222.06,217.32,0.021345582275060834,WIN
confirmation,0.0015,2026-03-03,WDAY,LONG,0.0032238716449244365,133.81,143.625,0.07335027277482986,WIN
confirmation,0.0015,2026-03-04,APP,LONG,0.0346611484738748,460.0,482.88,0.04973913043478251,WIN
confirmation,0.0015,2026-03-04,BX,LONG,0.011183680773016125,113.02,114.13,0.009821270571580332,WIN
