bias_threshold,reversal_threshold,entry_mode,trading_date,symbol,event_bias,trade_direction,prior_relative_return,opening_return_10m,entry_price,exit_price,trade_return,result
0.01,0.0015,threshold_only,2026-03-03,A,SHORT,SHORT,-0.010875900068917144,0.00283602612581646,116.69,118.99,-0.01971034364555658,LOSS
0.01,0.0015,threshold_only,2026-03-03,ABNB,LONG,LONG,0.020284814216797287,-0.0017412370353545592,131.86,133.06,0.009100561201274004,WIN
0.01,0.0015,threshold_only,2026-03-03,ABT,SHORT,SHORT,-0.02178525422068167,0.0037974124608115556,113.665,113.56,0.000923767210662948,WIN
0.01,0.0015,threshold_only,2026-03-03,ALB,LONG,LONG,0.02036571696721845,-0.002673796791443861,164.12,164.64,0.003168413356080757,WIN
0.01,0.0015,threshold_only,2026-03-03,ALL,SHORT,SHORT,-0.012435344815700855,0.0026388360593381233,210.875,213.57,-0.012780082987551835,LOSS
0.01,0.0015,threshold_only,2026-03-03,AMGN,SHORT,SHORT,-0.011143117098107558,0.0036992997753997336,379.85,377.0,0.0075029616954061405,WIN
0.01,0.0015,threshold_only,2026-03-03,AMP,LONG,LONG,0.021957534655270727,-0.00644610458911421,465.48,465.6,0.0002577984016498558,WIN
0.01,0.0015,threshold_only,2026-03-03,ANET,SHORT,SHORT,-0.01733782595185529,0.006948881789137218,126.07,124.49,0.012532719917506135,WIN
0.01,0.0015,threshold_only,2026-03-03,APH,SHORT,SHORT,-0.05350874248145587,0.008664843840258785,130.96,129.59,0.010461209529627402,WIN
0.01,0.0015,threshold_only,2026-03-03,APO,LONG,LONG,0.03420987314920265,-0.0038488108161452983,100.94,107.11,0.0611254210422032,WIN
0.01,0.0015,threshold_only,2026-03-03,APP,LONG,LONG,0.025311919821487505,-0.004447497830488811,412.995,439.14,0.06330585116042564,WIN
0.01,0.0015,threshold_only,2026-03-03,ARES,LONG,LONG,0.02803504450509875,-0.013076710562666904,107.17,112.64,0.05104040309788194,WIN
0.01,0.0015,threshold_only,2026-03-03,AVGO,LONG,LONG,0.022464021254288147,-0.005792926868298909,310.64,313.85,0.010333505021890455,WIN
0.01,0.0015,threshold_only,2026-03-03,AXON,LONG,LONG,0.038818692979508906,-0.0032746478873240115,566.14,579.39,0.023404104991698205,WIN
0.01,0.0015,threshold_only,2026-03-03,BA,LONG,LONG,0.011672072783930565,-0.002480620155038804,225.19,224.01,-0.005240019539055951,LOSS
0.01,0.0015,threshold_only,2026-03-03,BEN,LONG,LONG,0.033087253310243536,-0.003816793893129722,26.1,26.51,0.015708812260536442,WIN
0.01,0.0015,threshold_only,2026-03-03,BNY,LONG,LONG,0.012632935201514872,-0.0021387629395157592,116.64,117.9,0.010802469135802406,WIN
0.01,0.0015,threshold_only,2026-03-03,BX,LONG,LONG,0.036644759189616405,-0.019170506912442375,106.42,110.915,0.04223830107122728,WIN
0.01,0.0015,threshold_only,2026-03-03,CAT,LONG,LONG,0.01768761509508221,-0.0053119209388511335,724.68,722.35,-0.003215212231605591,LOSS
0.01,0.0015,threshold_only,2026-03-03,CBOE,SHORT,SHORT,-0.02584028495631019,0.005768486907384629,299.02,303.76,-0.01585178248946562,LOSS
0.01,0.0015,threshold_only,2026-03-03,CDW,LONG,LONG,0.023391941795553706,-0.0036178260154580144,121.18,125.28,0.03383396600099031,WIN
0.01,0.0015,threshold_only,2026-03-03,CF,SHORT,SHORT,-0.02902474371249486,0.007973263308665546,105.56,106.305,-0.007057597574838997,LOSS
0.01,0.0015,threshold_only,2026-03-03,CFG,LONG,LONG,0.02221399297048854,-0.0055518169582772225,59.11,59.66,0.009304686178311483,WIN
0.01,0.0015,threshold_only,2026-03-03,CINF,LONG,LONG,0.0244055992954042,-0.0029947292764733735,166.46,168.5,0.012255196443589966,WIN
0.01,0.0015,threshold_only,2026-03-03,COHR,LONG,LONG,0.08129214578592658,-0.011125061030899053,283.55,280.63,-0.010298007406101317,LOSS
0.01,0.0015,threshold_only,2026-03-03,COST,SHORT,SHORT,-0.016657537773185016,0.008776648734807768,1012.61,1007.43,0.005115493625383972,WIN
0.01,0.0015,threshold_only,2026-03-03,CPAY,LONG,LONG,0.033341153228673814,-0.0028461824031680294,322.32,334.12,0.036609580541077325,WIN
0.01,0.0015,threshold_only,2026-03-03,CRL,LONG,LONG,0.01214676984321672,-0.0030598368087034755,175.94,175.585,-0.002017733318176562,LOSS
0.01,0.0015,threshold_only,2026-03-03,CSGP,LONG,LONG,0.028982073711574685,-0.013770491803278717,45.12,46.78,0.036790780141844115,WIN
0.01,0.0015,threshold_only,2026-03-03,CVNA,SHORT,SHORT,-0.017795408797646406,0.002517126015612492,314.64,319.095,-0.014159038901601962,LOSS
0.01,0.0015,threshold_only,2026-03-03,CVS,LONG,LONG,0.012094591597270998,-0.006348228043143278,80.61,80.48,-0.0016127031385683166,LOSS
0.01,0.0015,threshold_only,2026-03-03,DAL,LONG,LONG,0.013444607182446333,-0.005762766127741292,62.11,64.605,0.040170664949283674,WIN
0.01,0.0015,threshold_only,2026-03-03,DELL,LONG,LONG,0.03327759661575547,-0.017357762777242103,147.755,145.19,-0.017359818618659206,LOSS
0.01,0.0015,threshold_only,2026-03-03,DG,SHORT,SHORT,-0.021691695148556067,0.01281966124211209,152.48,153.09,-0.004000524658971758,LOSS
0.01,0.0015,threshold_only,2026-03-03,DGX,SHORT,SHORT,-0.017575413584978494,0.005047591577732824,209.07,208.38,0.0033003300330032895,WIN
0.01,0.0015,threshold_only,2026-03-03,DHI,SHORT,SHORT,-0.024031136964825506,0.006480058788162157,150.66,152.57,-0.012677552104075378,LOSS
0.01,0.0015,threshold_only,2026-03-03,DHR,SHORT,SHORT,-0.016161030515477792,0.003350578960335193,203.63,203.95,-0.0015714776801060413,LOSS
0.01,0.0015,threshold_only,2026-03-03,DLTR,SHORT,SHORT,-0.047172709244255095,0.0029248442202534086,118.3,118.37,-0.0005917159763314234,LOSS
0.01,0.0015,threshold_only,2026-03-03,DOV,LONG,LONG,0.02052145044388687,-0.010821725123644432,218.005,220.74,0.012545583816885086,WIN
0.01,0.0015,threshold_only,2026-03-03,EBAY,SHORT,SHORT,-0.017524066092083013,0.01015111316184103,87.57,89.64,-0.023638232271325884,LOSS
0.01,0.0015,threshold_only,2026-03-03,ELV,SHORT,SHORT,-0.07811421124105167,0.014050873853607815,293.01,283.71,0.031739531074024815,WIN
0.01,0.0015,threshold_only,2026-03-03,ETN,LONG,LONG,0.011225883239772916,-0.00576770631167467,363.72,355.4,-0.022874738810073847,LOSS
0.01,0.0015,threshold_only,2026-03-03,F,SHORT,SHORT,-0.04672499106638939,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.01,0.0015,threshold_only,2026-03-03,GDDY,LONG,LONG,0.016379820432033565,-0.009390208989407456,86.505,89.27,0.03196347031963476,WIN
0.01,0.0015,threshold_only,2026-03-03,GEHC,SHORT,SHORT,-0.042065522404435396,0.004416282642089042,78.465,78.07,0.005034091633212391,WIN
0.01,0.0015,threshold_only,2026-03-03,GEV,LONG,LONG,0.01627052642436233,-0.02225165870719603,841.46,842.075,0.0007308725310768427,WIN
0.01,0.0015,threshold_only,2026-03-03,GLW,LONG,LONG,0.017372200094199153,-0.011148235138443208,149.46,147.51,-0.013046969088719496,LOSS
0.01,0.0015,threshold_only,2026-03-03,GPN,LONG,LONG,0.028527939087488186,-0.010943643512450807,75.465,77.695,0.0295501225733783,WIN
0.01,0.0015,threshold_only,2026-03-03,HAL,SHORT,SHORT,-0.030890220057747664,0.0037878787878786735,35.775,35.25,0.014675052410901428,WIN
