symbol,trade_direction,trades,wins,win_rate,avg_return,median_return,total_return,best_trade,worst_trade,avg_prior_relative,avg_opening_10m,score
LITE,SHORT,2,2,1.0,0.05255920848411923,0.05255920848411923,0.10511841696823845,0.09883040463640844,0.0062880123318300165,-0.07678938008150193,0.0177182178676093,0.10511841696823845
APO,LONG,2,2,1.0,0.04685492540734104,0.04685492540734104,0.09370985081468208,0.0611254210422032,0.032584429772478885,0.08068715820118177,-0.012433589318791127,0.09370985081468208
APP,LONG,2,2,1.0,0.03754712198631338,0.03754712198631338,0.07509424397262676,0.06330585116042564,0.01178839281220112,0.128641044038466,-0.012174218565571937,0.07509424397262676
WFC,LONG,3,3,1.0,0.024048156646335528,0.026954681274900416,0.07214446993900658,0.029453195031374113,0.015736593632732054,0.03701718919782482,-0.011153873127914308,0.07214446993900658
FFIV,LONG,2,2,1.0,0.03195527613741955,0.03195527613741955,0.0639105522748391,0.03418247515808481,0.029728077116754292,0.047868176718306565,-0.00389263761695674,0.0639105522748391
CRWD,LONG,1,1,1.0,0.06157571339304324,0.06157571339304324,0.06157571339304324,0.06157571339304324,0.06157571339304324,0.07423650992861353,-0.005450755466939516,0.06157571339304324
LRCX,SHORT,2,2,1.0,0.029820172708637273,0.029820172708637273,0.059640345417274546,0.037997296253379706,0.021643049163894836,-0.040177722583061515,0.005994268558219273,0.059640345417274546
F,SHORT,2,2,1.0,0.028360581052836616,0.028360581052836616,0.05672116210567323,0.031607006854531675,0.025114155251141558,-0.0626994628494007,0.010596999684784891,0.05672116210567323
ARES,LONG,2,2,1.0,0.02807774630597426,0.02807774630597426,0.05615549261194852,0.05104040309788194,0.005115089514066584,0.0601774900477825,-0.01135539811456876,0.05615549261194852
TTD,LONG,1,1,1.0,0.0519781144781144,0.0519781144781144,0.0519781144781144,0.0519781144781144,0.0519781144781144,0.04127497165773186,-0.013289036544850363,0.0519781144781144
LYB,LONG,2,2,1.0,0.024517619566753468,0.024517619566753468,0.049035239133506936,0.045147679324894385,0.0038875598086125507,0.0736804839315085,-0.008124635038671058,0.049035239133506936
BX,LONG,2,2,1.0,0.024262944958795774,0.024262944958795774,0.04852588991759155,0.04223830107122728,0.006287588846364267,0.06803331401413726,-0.022717462861722548,0.04852588991759155
CSGP,LONG,2,2,1.0,0.024036844312459893,0.024036844312459893,0.048073688624919786,0.036790780141844115,0.011282908483075671,0.06366957338314005,-0.01297399719162906,0.048073688624919786
MAS,SHORT,2,2,1.0,0.023801347894940473,0.023801347894940473,0.047602695789880946,0.04350373516918118,0.004098960620699767,-0.044910369853156606,0.007860768483884173,0.047602695789880946
RDDT,LONG,2,2,1.0,0.023303506935471008,0.023303506935471008,0.046607013870942016,0.0368353619474695,0.009771651923472513,0.03442777916845707,-0.009229432279664995,0.046607013870942016
TEL,SHORT,3,3,1.0,0.013465668906608408,0.011182108626198093,0.040397006719825226,0.028307110229317544,0.0009077878643095925,-0.06844086946734458,0.012722630042433384,0.040397006719825226
XYZ,LONG,2,2,1.0,0.020002384651974014,0.020002384651974014,0.04000476930394803,0.03456476930394792,0.005440000000000111,0.04181060985906604,-0.011615082854063985,0.04000476930394803
FOXA,LONG,1,1,1.0,0.039096437880104196,0.039096437880104196,0.039096437880104196,0.039096437880104196,0.039096437880104196,0.03816326606127496,-0.014217197670435167,0.039096437880104196
TYL,LONG,2,2,1.0,0.018574120260236526,0.018574120260236526,0.03714824052047305,0.02505202058920153,0.012096219931271524,0.046223889901140125,-0.006818861953469091,0.03714824052047305
CPAY,LONG,2,2,1.0,0.018527528680186478,0.018527528680186478,0.037055057360372956,0.036609580541077325,0.00044547681929563154,0.03087531219140649,-0.006260174456137468,0.037055057360372956
