bias_threshold,reversal_threshold,entry_mode,trading_date,symbol,event_bias,trade_direction,prior_relative_return,opening_return_10m,entry_price,exit_price,trade_return,result
0.025,0.0025,threshold_only,2026-03-03,APH,SHORT,SHORT,-0.05350874248145587,0.008664843840258785,130.96,129.59,0.010461209529627402,WIN
0.025,0.0025,threshold_only,2026-03-03,APO,LONG,LONG,0.03420987314920265,-0.0038488108161452983,100.94,107.11,0.0611254210422032,WIN
0.025,0.0025,threshold_only,2026-03-03,APP,LONG,LONG,0.025311919821487505,-0.004447497830488811,412.995,439.14,0.06330585116042564,WIN
0.025,0.0025,threshold_only,2026-03-03,ARES,LONG,LONG,0.02803504450509875,-0.013076710562666904,107.17,112.64,0.05104040309788194,WIN
0.025,0.0025,threshold_only,2026-03-03,AXON,LONG,LONG,0.038818692979508906,-0.0032746478873240115,566.14,579.39,0.023404104991698205,WIN
0.025,0.0025,threshold_only,2026-03-03,BEN,LONG,LONG,0.033087253310243536,-0.003816793893129722,26.1,26.51,0.015708812260536442,WIN
0.025,0.0025,threshold_only,2026-03-03,BX,LONG,LONG,0.036644759189616405,-0.019170506912442375,106.42,110.915,0.04223830107122728,WIN
0.025,0.0025,threshold_only,2026-03-03,CBOE,SHORT,SHORT,-0.02584028495631019,0.005768486907384629,299.02,303.76,-0.01585178248946562,LOSS
0.025,0.0025,threshold_only,2026-03-03,CF,SHORT,SHORT,-0.02902474371249486,0.007973263308665546,105.56,106.305,-0.007057597574838997,LOSS
0.025,0.0025,threshold_only,2026-03-03,COHR,LONG,LONG,0.08129214578592658,-0.011125061030899053,283.55,280.63,-0.010298007406101317,LOSS
0.025,0.0025,threshold_only,2026-03-03,CPAY,LONG,LONG,0.033341153228673814,-0.0028461824031680294,322.32,334.12,0.036609580541077325,WIN
0.025,0.0025,threshold_only,2026-03-03,CSGP,LONG,LONG,0.028982073711574685,-0.013770491803278717,45.12,46.78,0.036790780141844115,WIN
0.025,0.0025,threshold_only,2026-03-03,DELL,LONG,LONG,0.03327759661575547,-0.017357762777242103,147.755,145.19,-0.017359818618659206,LOSS
0.025,0.0025,threshold_only,2026-03-03,DLTR,SHORT,SHORT,-0.047172709244255095,0.0029248442202534086,118.3,118.37,-0.0005917159763314234,LOSS
0.025,0.0025,threshold_only,2026-03-03,ELV,SHORT,SHORT,-0.07811421124105167,0.014050873853607815,293.01,283.71,0.031739531074024815,WIN
0.025,0.0025,threshold_only,2026-03-03,F,SHORT,SHORT,-0.04672499106638939,0.006130268199233679,13.13,12.715,0.031607006854531675,WIN
0.025,0.0025,threshold_only,2026-03-03,GEHC,SHORT,SHORT,-0.042065522404435396,0.004416282642089042,78.465,78.07,0.005034091633212391,WIN
0.025,0.0025,threshold_only,2026-03-03,GPN,LONG,LONG,0.028527939087488186,-0.010943643512450807,75.465,77.695,0.0295501225733783,WIN
0.025,0.0025,threshold_only,2026-03-03,HAL,SHORT,SHORT,-0.030890220057747664,0.0037878787878786735,35.775,35.25,0.014675052410901428,WIN
0.025,0.0025,threshold_only,2026-03-03,HPE,LONG,LONG,0.03870819502428402,-0.006893382352941235,21.61,21.64,0.0013882461823231385,WIN
0.025,0.0025,threshold_only,2026-03-03,HRL,SHORT,SHORT,-0.031036439545401362,0.006288032454361048,24.805,24.6,0.008264462809917286,WIN
0.025,0.0025,threshold_only,2026-03-03,LITE,LONG,LONG,0.03532423456922551,-0.026105545886835002,710.68,693.6,-0.02403332020037141,LOSS
0.025,0.0025,threshold_only,2026-03-03,MAS,SHORT,SHORT,-0.042307248782298856,0.006631299734747964,68.31,68.03,0.004098960620699767,WIN
0.025,0.0025,threshold_only,2026-03-03,MCD,SHORT,SHORT,-0.025221038077916536,0.006018069366965806,331.825,331.955,-0.00039177277179234675,LOSS
0.025,0.0025,threshold_only,2026-03-03,MOS,SHORT,SHORT,-0.05789492382801609,0.0086013462976815,26.97,26.79,0.006674082313681859,WIN
0.025,0.0025,threshold_only,2026-03-03,NOC,LONG,LONG,0.028323424255407348,-0.006109475549071153,762.97,759.165,-0.004987089924898824,LOSS
0.025,0.0025,threshold_only,2026-03-03,RDDT,LONG,LONG,0.026119895357570533,-0.01327433628318575,140.49,145.665,0.0368353619474695,WIN
0.025,0.0025,threshold_only,2026-03-03,STLD,LONG,LONG,0.03915600000766073,-0.029507695443889426,190.43,197.4,0.03660137583363965,WIN
0.025,0.0025,threshold_only,2026-03-03,STX,SHORT,SHORT,-0.04721296881717063,0.002740408570004904,362.25,357.48,0.013167701863353988,WIN
0.025,0.0025,threshold_only,2026-03-03,TEL,SHORT,SHORT,-0.06675880532715572,0.011754334410813971,206.58,204.27,0.011182108626198093,WIN
0.025,0.0025,threshold_only,2026-03-03,TER,LONG,LONG,0.027963097719319263,-0.007763119509902383,306.115,304.275,-0.0060108129297814505,LOSS
0.025,0.0025,threshold_only,2026-03-03,TTD,LONG,LONG,0.04127497165773186,-0.013289036544850363,23.76,24.995,0.0519781144781144,WIN
0.025,0.0025,threshold_only,2026-03-03,VTRS,LONG,LONG,0.043718388636287075,-0.013175230566534912,14.98,14.9,-0.005340453938584733,LOSS
0.025,0.0025,threshold_only,2026-03-03,WAT,SHORT,SHORT,-0.03203473392185208,0.011040150502499957,306.33,312.21,-0.019194985799627837,LOSS
0.025,0.0025,threshold_only,2026-03-03,WFC,LONG,LONG,0.029578205103798716,-0.008333847768380864,80.32,82.485,0.026954681274900416,WIN
0.025,0.0025,threshold_only,2026-03-03,XYZ,LONG,LONG,0.05007336318365363,-0.014117832636643346,62.5,62.84,0.005440000000000111,WIN
0.025,0.0025,threshold_only,2026-03-04,AKAM,LONG,LONG,0.060779320470516485,-0.002700579397034164,101.555,103.02,0.014425680665649088,WIN
0.025,0.0025,threshold_only,2026-03-04,ANET,SHORT,SHORT,-0.030216423997195263,0.005772230889235619,128.94,134.875,-0.04602916085000777,LOSS
0.025,0.0025,threshold_only,2026-03-04,APA,SHORT,SHORT,-0.04911804014326637,0.005985118084762098,31.095,31.11,-0.0004823926676314703,LOSS
0.025,0.0025,threshold_only,2026-03-04,AXON,LONG,LONG,0.05256504925815553,-0.010191093832526588,571.58,569.68,-0.0033241191084364408,LOSS
0.025,0.0025,threshold_only,2026-03-04,BAC,LONG,LONG,0.0295334063912005,-0.010997800439911942,49.46,50.28,0.01657905378083302,WIN
0.025,0.0025,threshold_only,2026-03-04,BBY,LONG,LONG,0.03061058617201806,-0.003696718219539874,66.03,67.41,0.02089959109495676,WIN
0.025,0.0025,threshold_only,2026-03-04,BEN,LONG,LONG,0.03815525855238633,-0.006548175865294659,26.55,26.57,0.0007532956685498693,WIN
0.025,0.0025,threshold_only,2026-03-04,BLK,LONG,LONG,0.03226271207874554,-0.004042572305306247,1053.22,1049.22,-0.0037978769867643702,LOSS
0.025,0.0025,threshold_only,2026-03-04,BRK.B,SHORT,SHORT,-0.03500768161896051,0.008835758835758822,485.25,487.505,-0.004647089129314777,LOSS
0.025,0.0025,threshold_only,2026-03-04,C,LONG,LONG,0.05744171406507115,-0.004746126981284182,111.14,111.34,0.0017995321216484061,WIN
0.025,0.0025,threshold_only,2026-03-04,CDW,LONG,LONG,0.04719104915537886,-0.021087812835714037,123.015,124.85,0.014916880055277693,WIN
0.025,0.0025,threshold_only,2026-03-04,CHRW,LONG,LONG,0.051853659853882794,-0.01007647788342303,191.57,189.865,-0.008900140940648282,LOSS
0.025,0.0025,threshold_only,2026-03-04,CINF,LONG,LONG,0.026676511194927643,-0.009109311740890691,166.43,167.98,0.00931322477918628,WIN
0.025,0.0025,threshold_only,2026-03-04,COHR,LONG,LONG,0.05081102365463064,-0.036678423658685455,284.045,274.81,-0.032512454012568526,LOSS
0.025,0.0025,threshold_only,2026-03-04,CRWD,LONG,LONG,0.07423650992861353,-0.005450755466939516,384.08,407.73,0.06157571339304324,WIN
0.025,0.0025,threshold_only,2026-03-04,DAL,LONG,LONG,0.041117014650342565,-0.00987197285207464,64.19,63.81,-0.0059199252219971354,LOSS
0.025,0.0025,threshold_only,2026-03-04,ELV,SHORT,SHORT,-0.1022453893736811,0.018133802816901357,289.15,291.61,-0.008507694968009811,LOSS
0.025,0.0025,threshold_only,2026-03-04,EME,LONG,LONG,0.028383121620897844,-0.0047449902821525836,742.51,740.715,-0.0024174758589109446,LOSS
0.025,0.0025,threshold_only,2026-03-04,F,SHORT,SHORT,-0.07867393463241201,0.015063731170336103,13.14,12.81,0.025114155251141558,WIN
0.025,0.0025,threshold_only,2026-03-04,FANG,SHORT,SHORT,-0.05317277482086791,0.00315692802204115,174.77,176.81,-0.011672483835898563,LOSS
0.025,0.0025,threshold_only,2026-03-04,FDS,LONG,LONG,0.03969317723634247,-0.008475336322869897,221.11,225.44,0.019583012979964565,WIN
0.025,0.0025,threshold_only,2026-03-04,FFIV,LONG,LONG,0.03308149250249115,-0.004974768261694407,278.02,286.285,0.029728077116754292,WIN
0.025,0.0025,threshold_only,2026-03-04,FICO,LONG,LONG,0.031851953575076086,-0.013262983654045102,1430.67,1462.31,0.022115512312413044,WIN
0.025,0.0025,threshold_only,2026-03-04,FIX,LONG,LONG,0.035679374624986604,-0.01795807195929977,1391.74,1429.44,0.02708839294695853,WIN
0.025,0.0025,threshold_only,2026-03-04,GNRC,LONG,LONG,0.04683656818609627,-0.01727468525878728,221.295,220.88,-0.0018753247926974748,LOSS
0.025,0.0025,threshold_only,2026-03-04,GPN,LONG,LONG,0.04023251468887068,-0.012071401053037056,76.93,77.56,0.008189262966332933,WIN
0.025,0.0025,threshold_only,2026-03-04,GS,LONG,LONG,0.05185146681284225,-0.008615136876006457,861.91,867.425,0.006398579898133194,WIN
0.025,0.0025,threshold_only,2026-03-04,HUM,SHORT,SHORT,-0.0417100379430434,0.00501875137877783,182.23,183.07,-0.004609559348076626,LOSS
0.025,0.0025,threshold_only,2026-03-04,IBKR,LONG,LONG,0.027812881449067017,-0.012531681216558677,70.13,69.135,-0.014187936689005975,LOSS
0.025,0.0025,threshold_only,2026-03-04,IT,LONG,LONG,0.05612852413112668,-0.0033485540334856623,163.7,166.83,0.01912034208918767,WIN
0.025,0.0025,threshold_only,2026-03-04,JPM,LONG,LONG,0.02505653765622884,-0.008488964346349825,297.84,299.34,0.005036261079774285,WIN
0.025,0.0025,threshold_only,2026-03-04,KEY,LONG,LONG,0.02593251675903252,-0.008003880669415486,20.45,20.69,0.011735941320293541,WIN
0.025,0.0025,threshold_only,2026-03-04,LDOS,LONG,LONG,0.03272903593845333,-0.005176470588235338,179.69,176.75,-0.016361511492014036,LOSS
0.025,0.0025,threshold_only,2026-03-04,LYB,LONG,LONG,0.03893362132167111,-0.008534136546184734,59.25,61.925,0.045147679324894385,WIN
0.025,0.0025,threshold_only,2026-03-04,MA,LONG,LONG,0.027305451819753968,-0.003119812238823294,522.435,523.02,0.0011197565247351715,WIN
0.025,0.0025,threshold_only,2026-03-04,MS,LONG,LONG,0.03730715245018734,-0.002500297654482564,167.56,167.54,-0.00011936022917169442,LOSS
0.025,0.0025,threshold_only,2026-03-04,NRG,SHORT,SHORT,-0.033838517568412274,0.0095103259364131,164.0,163.62,0.0023170731707316795,WIN
0.025,0.0025,threshold_only,2026-03-04,OXY,SHORT,SHORT,-0.07424909917873013,0.013365155131265016,53.075,53.6,-0.009891662741403648,LOSS
0.025,0.0025,threshold_only,2026-03-04,PAYX,LONG,LONG,0.025125500181276017,-0.0037258606213266265,94.925,95.79,0.009112457203055202,WIN
0.025,0.0025,threshold_only,2026-03-04,PCAR,SHORT,SHORT,-0.025082930133032977,0.00478449662270819,124.955,124.93,0.00020007202592926633,WIN
0.025,0.0025,threshold_only,2026-03-04,PM,SHORT,SHORT,-0.05093651762602869,0.0028802168633874636,177.58,179.095,-0.008531366144836053,LOSS
0.025,0.0025,threshold_only,2026-03-04,PNC,LONG,LONG,0.028740079240245908,-0.003504181656777128,213.28,213.92,0.0030007501875468634,WIN
0.025,0.0025,threshold_only,2026-03-04,PTC,LONG,LONG,0.04380243946637097,-0.002868477265791869,163.38,163.09,-0.0017750030603500555,LOSS
0.025,0.0025,threshold_only,2026-03-04,PWR,LONG,LONG,0.03324143103100363,-0.015390818097358316,561.69,568.39,0.01192828784560862,WIN
0.025,0.0025,threshold_only,2026-03-04,RCL,LONG,LONG,0.07828522702663099,-0.02646558492541229,297.59,287.24,-0.034779394468900104,LOSS
0.025,0.0025,threshold_only,2026-03-04,RDDT,LONG,LONG,0.042735662979343614,-0.00518452827614424,145.83,147.255,0.009771651923472513,WIN
0.025,0.0025,threshold_only,2026-03-04,RF,LONG,LONG,0.030569960611273927,-0.009161128076163205,27.58,27.83,0.009064539521392412,WIN
0.025,0.0025,threshold_only,2026-03-04,RL,LONG,LONG,0.029947169902750703,-0.006822705745075153,361.74,359.94,-0.004975949577044281,LOSS
0.025,0.0025,threshold_only,2026-03-04,ROP,LONG,LONG,0.030346169392782896,-0.005457293182581369,355.37,361.225,0.016475785800714737,WIN
0.025,0.0025,threshold_only,2026-03-04,SNPS,LONG,LONG,0.03566763637574444,-0.006500758225869041,422.57,430.9,0.019712710320183513,WIN
0.025,0.0025,threshold_only,2026-03-04,SOLV,SHORT,SHORT,-0.034138515442410866,0.004402783695497847,70.72,70.39,0.004666289592760157,WIN
0.025,0.0025,threshold_only,2026-03-04,STLD,LONG,LONG,0.03819957066495827,-0.024524524524524582,194.9,193.93,-0.004976911236531545,LOSS
0.025,0.0025,threshold_only,2026-03-04,STX,SHORT,SHORT,-0.06452952640336318,0.0035919540229885083,370.205,375.04,-0.01306033143798716,LOSS
0.025,0.0025,threshold_only,2026-03-04,TEL,SHORT,SHORT,-0.07360090409549591,0.011379835221918988,209.3,209.11,0.0009077878643095925,WIN
0.025,0.0025,threshold_only,2026-03-04,TGT,LONG,LONG,0.03821691406340322,-0.017557861133280173,123.1,120.05,-0.024776604386677503,LOSS
0.025,0.0025,threshold_only,2026-03-04,TPL,SHORT,SHORT,-0.0314206102224992,0.010460652591171016,526.45,536.46,-0.019014151391395177,LOSS
0.025,0.0025,threshold_only,2026-03-04,TPR,LONG,LONG,0.030536718534670326,-0.0030017563467986674,156.105,157.04,0.00598955831011172,WIN
0.025,0.0025,threshold_only,2026-03-04,TTWO,LONG,LONG,0.031615622612433114,-0.01241493470663968,214.78,215.75,0.004516249185212873,WIN
0.025,0.0025,threshold_only,2026-03-04,TYL,LONG,LONG,0.046416064377132527,-0.0068259385665528916,363.75,368.15,0.012096219931271524,WIN
0.025,0.0025,threshold_only,2026-03-04,UAL,LONG,LONG,0.05020580458176083,-0.013314176245210696,103.01,100.52,-0.024172410445587933,LOSS
0.025,0.0025,threshold_only,2026-03-04,UBER,LONG,LONG,0.03528628253298938,-0.008303677342823335,75.24,76.665,0.018939393939394034,WIN
0.025,0.0025,threshold_only,2026-03-04,URI,LONG,LONG,0.04427960748228843,-0.005296950240770371,836.595,851.74,0.01810314429323623,WIN
0.025,0.0025,threshold_only,2026-03-04,VEEV,LONG,LONG,0.029577716291181,-0.007881614926813607,185.04,188.425,0.018293341980112565,WIN
0.025,0.0025,threshold_only,2026-03-04,VST,SHORT,SHORT,-0.037979481168057494,0.0026860142019142774,162.385,163.44,-0.0064969055023555555,LOSS
0.025,0.0025,threshold_only,2026-03-04,WDAY,LONG,LONG,0.07918189053864344,-0.004368932038834927,143.57,143.1,-0.003273664414571331,LOSS
0.025,0.0025,threshold_only,2026-03-04,WFC,LONG,LONG,0.04141940466627414,-0.002535619415599988,82.61,83.91,0.015736593632732054,WIN
0.025,0.0025,threshold_only,2026-03-04,XYZ,LONG,LONG,0.03354785653447845,-0.009112333071484624,63.07,65.25,0.03456476930394792,WIN
0.025,0.0025,threshold_only,2026-03-05,AIG,SHORT,SHORT,-0.037350208325612755,0.008219524532119493,79.73,80.05,-0.004013545716794095,LOSS
0.025,0.0025,threshold_only,2026-03-05,ALLE,SHORT,SHORT,-0.031589551449733966,0.0031300419490158937,155.435,152.22,0.020683887155402602,WIN
0.025,0.0025,threshold_only,2026-03-05,AOS,SHORT,SHORT,-0.042283182968195776,0.004131662305467465,72.91,72.03,0.012069674941708894,WIN
0.025,0.0025,threshold_only,2026-03-05,APA,SHORT,SHORT,-0.04408244877817524,0.016890292028413523,32.21,32.37,-0.004967401428127805,LOSS
0.025,0.0025,threshold_only,2026-03-05,APH,SHORT,SHORT,-0.05851746160720972,0.013957246749430663,138.03,136.25,0.012895747301311317,WIN
0.025,0.0025,threshold_only,2026-03-05,BAX,SHORT,SHORT,-0.037292277178473276,0.0029522275899087624,18.685,18.59,0.005084292213005024,WIN
0.025,0.0025,threshold_only,2026-03-05,BLDR,SHORT,SHORT,-0.040435471874833984,0.01710114702815435,97.54,95.49,0.021017018659011802,WIN
0.025,0.0025,threshold_only,2026-03-05,BSX,SHORT,SHORT,-0.060820265202670476,0.004462418072793239,72.03,72.95,-0.012772455921143991,LOSS
0.025,0.0025,threshold_only,2026-03-05,CCI,LONG,LONG,0.031205739990771475,-0.006856890068568933,89.8,90.16,0.004008908685968704,WIN
0.025,0.0025,threshold_only,2026-03-05,CDNS,LONG,LONG,0.028296512903534854,-0.006782178217821788,300.945,299.82,-0.003738224592533479,LOSS
0.025,0.0025,threshold_only,2026-03-05,CF,SHORT,SHORT,-0.03710228361426349,0.039177966499319705,110.74,110.74,0.0,LOSS
0.025,0.0025,threshold_only,2026-03-05,CMCSA,LONG,LONG,0.03571250593948294,-0.003124023742580362,31.91,31.59,-0.010028204324663115,LOSS
0.025,0.0025,threshold_only,2026-03-05,COP,SHORT,SHORT,-0.04845270875131147,0.010296065279617128,118.24,116.835,0.011882611637347778,WIN
0.025,0.0025,threshold_only,2026-03-05,CVNA,SHORT,SHORT,-0.02799337839616567,0.028990591612183092,322.64,331.08,-0.02615918670964542,LOSS
0.025,0.0025,threshold_only,2026-03-05,CVX,SHORT,SHORT,-0.03931494074638864,0.010241836023379358,188.4,189.85,-0.007696390658174037,LOSS
0.025,0.0025,threshold_only,2026-03-05,DECK,SHORT,SHORT,-0.02673287701519178,0.008479262672811183,109.42,107.44,0.018095412173277318,WIN
0.025,0.0025,threshold_only,2026-03-05,DLTR,SHORT,SHORT,-0.05905249325910067,0.003434950622584809,116.85,115.89,0.008215661103979408,WIN
0.025,0.0025,threshold_only,2026-03-05,DVN,SHORT,SHORT,-0.05513141321935666,0.003395201448619156,44.33,44.505,-0.003947665237987915,LOSS
