bias_threshold,reversal_threshold,entry_mode,trades,long_trades,short_trades,win_rate,avg_trade_return,median_trade_return,profit_factor,portfolio_return,max_drawdown,positive_days,trading_days
0.01,0.0015,threshold_only,517,327,190,0.6518375241779497,0.0064938211634486135,0.005298245614035135,2.77557845301461,0.025744373194923842,0.0,4,4
0.01,0.0015,second_bar_reversal,125,54,71,0.6,0.004990348160999271,0.0034809125169012294,2.1227041407372456,0.018336943190646826,-0.0025061494585085775,2,4
0.01,0.0025,threshold_only,462,288,174,0.6428571428571429,0.006415363850765088,0.005099690863535804,2.720569500811124,0.025133184181809876,0.0,4,4
0.01,0.0025,second_bar_reversal,110,47,63,0.5727272727272728,0.0043359996831243575,0.003222938838677636,1.940116281437976,0.015191205131506846,-0.004541520492129303,2,4
0.01,0.0035,threshold_only,393,256,137,0.6641221374045801,0.007072300748346583,0.006287588846364267,2.8945620355799355,0.027432388587617318,0.0,4,4
0.01,0.0035,second_bar_reversal,83,40,43,0.5903614457831325,0.005418804469861155,0.0038184245660881355,2.187788089930162,0.01726378897872083,-0.0035510732398408296,2,4
0.01,0.005,threshold_only,332,224,108,0.6656626506024096,0.007164356294853847,0.006433044183744685,2.8837251722157946,0.027214669922560608,0.0,4,4
0.01,0.005,second_bar_reversal,70,36,34,0.5857142857142857,0.005219171867885148,0.0036496685414946824,2.1446870792976496,0.013394030036921967,-0.008370396526623192,2,4
0.01,0.0075,threshold_only,230,154,76,0.6826086956521739,0.007831965005695348,0.007670487377050783,2.9823631513841478,0.03051035757123266,0.0,4,4
0.01,0.0075,second_bar_reversal,44,21,23,0.6136363636363636,0.00790903599236689,0.005199538206666951,2.956751932482098,0.023729250908585575,-0.0023966560568251527,3,4
0.01,0.01,threshold_only,148,107,41,0.6756756756756757,0.008446947662496434,0.008480285216381778,2.9068408382978705,0.03121033586626032,-4.372604410829428e-05,3,4
0.01,0.01,second_bar_reversal,24,13,11,0.5833333333333334,0.008993145052936654,0.003979667611063402,2.832428446570973,0.028036918306073133,-0.0055921327679134825,3,4
0.015,0.0015,threshold_only,422,270,152,0.6706161137440758,0.007494912309538289,0.006433044183744685,3.189840210236931,0.03049072657663232,0.0,4,4
0.015,0.0015,second_bar_reversal,109,48,61,0.6238532110091743,0.006118513231764573,0.005034091633212391,2.511769392298618,0.02257353215170399,-0.0017379948182795202,3,4
0.015,0.0025,threshold_only,378,240,138,0.6613756613756614,0.007419191931892814,0.006287800589097142,3.117732720159142,0.02989769624983918,0.0,4,4
0.015,0.0025,second_bar_reversal,95,42,53,0.6,0.005627044636691453,0.0034809125169012294,2.360659768788056,0.02044809687057847,-0.0024653793877530417,3,4
0.015,0.0035,threshold_only,327,217,110,0.6819571865443425,0.007948142972154142,0.006674082313681859,3.2387182616490993,0.03165387047360668,0.0,4,4
0.015,0.0035,second_bar_reversal,76,37,39,0.6052631578947368,0.006303627201980162,0.004665394979880749,2.4654788875363836,0.0213016002717743,-0.0033492145362453707,3,4
0.015,0.005,threshold_only,280,189,91,0.675,0.007727952871139765,0.007383421057338357,3.075508143646388,0.029732825216260972,0.0,4,4
0.015,0.005,second_bar_reversal,65,33,32,0.5846153846153846,0.0057259146503632966,0.0034809125169012294,2.283886500927184,0.01575385737678059,-0.007568570653009643,2,4
0.015,0.0075,threshold_only,194,130,64,0.6701030927835051,0.008209890243616588,0.008285235693772092,3.0089433140436217,0.03228641525675102,0.0,4,4
0.015,0.0075,second_bar_reversal,40,19,21,0.6,0.008299131659393076,0.005075541700122326,2.9362794307862146,0.02668311092514597,-0.0035188195448340176,3,4
0.015,0.01,threshold_only,131,91,40,0.6641221374045801,0.008623217579872652,0.01005538527719527,2.96984674273054,0.031265541583606504,-0.0017343560198206376,3,4
0.015,0.01,second_bar_reversal,23,12,11,0.6086956521739131,0.009662394421595322,0.007051547357817212,2.995161831410853,0.032137771870839105,-0.0055921327679134825,3,4
0.02,0.0015,threshold_only,337,218,119,0.6706231454005934,0.007847664072202012,0.006674082313681859,3.2254690115197877,0.03264806504892115,0.0,4,4
0.02,0.0015,second_bar_reversal,85,36,49,0.611764705882353,0.005710758190885296,0.005034091633212391,2.355109615250182,0.02042525761346381,-0.0005935212842669291,3,4
0.02,0.0025,threshold_only,304,193,111,0.6644736842105263,0.007896681278481766,0.006445153869303222,3.2278471670666544,0.03256055723706974,0.0,4,4
0.02,0.0025,second_bar_reversal,75,30,45,0.5866666666666667,0.0055630187026766255,0.0032774643212745147,2.3200739543277753,0.020274870159947334,-0.0013883046427074497,3,4
0.02,0.0035,threshold_only,260,173,87,0.676923076923077,0.008328538141948552,0.007383421057338357,3.2606622349404146,0.03368674221555734,0.0,4,4
0.02,0.0035,second_bar_reversal,57,25,32,0.5789473684210527,0.006097785801121913,0.004296698326549109,2.315301110066692,0.019799309764617856,-0.0020321130625184924,3,4
0.02,0.005,threshold_only,223,150,73,0.6816143497757847,0.008561580204317272,0.008259700345754961,3.2743272474761667,0.033451708463561936,0.0,4,4
0.02,0.005,second_bar_reversal,48,22,26,0.5625,0.006011956039611966,0.0037870813239118117,2.2699313439277446,0.015326524593973767,-0.007442839641556898,3,4
0.02,0.0075,threshold_only,161,109,52,0.6708074534161491,0.00869800047707261,0.009064539521392412,3.0256623227391115,0.03564653094320058,0.0,4,4
0.02,0.0075,second_bar_reversal,29,12,17,0.5172413793103449,0.007626812284882179,0.0009077878643095925,2.5157723204716387,0.025984720763988722,-0.0055921327679134825,3,4
0.02,0.01,threshold_only,113,79,34,0.672566371681416,0.009378701138589001,0.011282908483075671,3.1286003834667353,0.036219513580943996,-0.0018486429826594097,3,4
0.02,0.01,second_bar_reversal,18,9,9,0.5555555555555556,0.009822596230426075,0.003979667611063402,2.797912282799812,0.03446067565960598,-0.0055921327679135935,3,4
0.025,0.0015,threshold_only,274,173,101,0.6751824817518248,0.008397075789167926,0.007383421057338357,3.443147571054918,0.03723689411172115,0.0,4,4
0.025,0.0015,second_bar_reversal,72,28,44,0.625,0.006519973691875762,0.005701822857884897,2.60598786276439,0.022089014541104568,0.0,4,4
0.025,0.0025,threshold_only,249,154,95,0.6746987951807228,0.008546128536796073,0.007051547357817212,3.4696182598177434,0.036839885225932845,0.0,4,4
0.025,0.0025,second_bar_reversal,65,24,41,0.6,0.006249007353579559,0.005034091633212391,2.4459563850285813,0.021228337120666962,-0.0005680865169731542,3,4
0.025,0.0035,threshold_only,215,138,77,0.6837209302325581,0.008713631960700541,0.007715294756859503,3.3725773255093006,0.03673199554700046,0.0,4,4
0.025,0.0035,second_bar_reversal,51,20,31,0.5686274509803921,0.006259214877246463,0.004296698326549109,2.2790087507558017,0.020266528779739,-0.0017279709692435974,3,4
0.025,0.005,threshold_only,185,120,65,0.6864864864864865,0.008903097447924514,0.008259700345754961,3.365612139124189,0.03509262387429368,0.0,4,4
0.025,0.005,second_bar_reversal,42,17,25,0.5476190476190477,0.006195715666118927,0.0037870813239118117,2.2241874504443175,0.015439990452616348,-0.007662967324024161,3,4
0.025,0.0075,threshold_only,139,91,48,0.6762589928057554,0.009343998329888414,0.00931322477918628,3.218757312433159,0.037692161504843336,0.0,4,4
0.025,0.0075,second_bar_reversal,26,10,16,0.5384615384615384,0.009021242166821729,0.0037909350889957258,2.7871044170706645,0.027624182108001438,-0.005569711414437295,3,4
0.025,0.01,threshold_only,98,66,32,0.673469387755102,0.009990894901226443,0.011535650647638396,3.229939793731207,0.0376685594036561,-0.0026458677606558956,3,4
0.025,0.01,second_bar_reversal,17,8,9,0.5882352941176471,0.010734620607616915,0.007051547357817212,2.9694807823845952,0.0344840001014477,-0.005569711414437295,3,4
0.03,0.0015,threshold_only,218,130,88,0.6788990825688074,0.00850653689995911,0.007748876091119709,3.4060990532153483,0.03716326132755032,0.0,4,4
0.03,0.0015,second_bar_reversal,59,19,40,0.5932203389830508,0.0061056132008346425,0.005034091633212391,2.3570318920903754,0.01821812467195083,-0.0012920678664580798,2,4
0.03,0.0025,threshold_only,203,120,83,0.6798029556650246,0.008582467840223743,0.007715294756859503,3.438558955475265,0.03637909704689579,0.0,4,4
0.03,0.0025,second_bar_reversal,54,17,37,0.5740740740740741,0.005940824099821063,0.004665394979880749,2.262703578625551,0.01797824981271723,-0.0019002011593137746,2,4
0.03,0.0035,threshold_only,174,105,69,0.7011494252873564,0.008851950965054383,0.00790198928984817,3.3976045410937172,0.03672315744344923,0.0,4,4
0.03,0.0035,second_bar_reversal,44,14,30,0.5681818181818182,0.006402379959061144,0.004665394979880749,2.2647574225176528,0.01809842001451023,-0.0031383063129239996,2,4
0.03,0.005,threshold_only,151,93,58,0.7086092715231788,0.009343735281038087,0.008264462809917286,3.551663239851248,0.0359591097172689,0.0,4,4
0.03,0.005,second_bar_reversal,36,12,24,0.5555555555555556,0.006269599100657292,0.0037870813239118117,2.215327449928312,0.01264594225060689,-0.010628195753160652,2,4
0.03,0.0075,threshold_only,113,70,43,0.6814159292035398,0.009361662127689137,0.008259700345754961,3.241230638964852,0.034665643537045154,0.0,4,4
0.03,0.0075,second_bar_reversal,24,8,16,0.5416666666666666,0.008488656138319872,0.0037909350889957258,2.62674676850843,0.02009362719947161,-0.008541194756701231,2,4
0.03,0.01,threshold_only,84,54,30,0.6785714285714286,0.009632080218693212,0.009720904485976527,3.2192756704674035,0.03303049052872509,-0.003050228424505308,3,4
0.03,0.01,second_bar_reversal,16,7,9,0.5625,0.00910332427387613,0.003979667611063402,2.5719405677424305,0.01919388061700511,-0.013345391228452463,2,4
