threshold,symbol,trade_direction,trades,wins,win_rate,avg_return,total_return
0.005,BF.B,SHORT,1,1,1.0,0.1018803418803419,0.1018803418803419
0.005,LITE,SHORT,2,2,1.0,0.06177407377262216,0.12354814754524432
0.005,SNDK,SHORT,2,2,1.0,0.061310090835290945,0.12262018167058189
0.005,GLW,SHORT,1,1,1.0,0.05457097736444994,0.05457097736444994
0.005,PSKY,SHORT,1,1,1.0,0.05088852988691444,0.05088852988691444
0.005,COHR,SHORT,2,2,1.0,0.048980880794028785,0.09796176158805757
0.005,TEL,SHORT,1,1,1.0,0.045569907092680745,0.045569907092680745
0.005,APO,LONG,2,2,1.0,0.04531008850155316,0.09062017700310632
0.005,RDDT,LONG,1,1,1.0,0.04498009254277391,0.04498009254277391
0.005,ARES,LONG,1,1,1.0,0.04441353732035247,0.04441353732035247
0.005,UAL,LONG,1,1,1.0,0.04272200183094288,0.04272200183094288
0.005,WDAY,LONG,1,1,1.0,0.041939711664482404,0.041939711664482404
0.005,MAS,SHORT,1,1,1.0,0.0412567904859786,0.0412567904859786
0.005,IFF,SHORT,1,1,1.0,0.04121350887235254,0.04121350887235254
0.005,PAYX,LONG,1,1,1.0,0.03951367781155013,0.03951367781155013
0.005,BBY,LONG,1,1,1.0,0.038132295719844445,0.038132295719844445
0.005,KLAC,SHORT,1,1,1.0,0.035808057620017764,0.035808057620017764
0.005,MCHP,SHORT,1,1,1.0,0.03533091632899694,0.03533091632899694
0.005,TRMB,LONG,1,1,1.0,0.03531348196917561,0.03531348196917561
0.005,LRCX,SHORT,2,2,1.0,0.03508723747237067,0.07017447494474134
0.005,KKR,LONG,2,2,1.0,0.03416365400720589,0.06832730801441178
0.005,NCLH,SHORT,1,1,1.0,0.03393351800554014,0.03393351800554014
0.005,ECHO,SHORT,1,1,1.0,0.033917516784375275,0.033917516784375275
0.005,LYB,LONG,2,2,1.0,0.03380026426461802,0.06760052852923604
0.005,CIEN,SHORT,1,1,1.0,0.03262854792266564,0.03262854792266564
0.005,VRSN,LONG,1,1,1.0,0.031468087806115985,0.031468087806115985
0.005,FDS,LONG,1,1,1.0,0.03138452992639906,0.03138452992639906
0.005,STZ,SHORT,1,1,1.0,0.03089019014408857,0.03089019014408857
0.005,SBUX,LONG,1,1,1.0,0.03028410864814224,0.03028410864814224
0.005,MOS,SHORT,1,1,1.0,0.029715762273901797,0.029715762273901797
0.005,Q,SHORT,2,2,1.0,0.028740801196754158,0.057481602393508316
0.005,MET,LONG,1,1,1.0,0.02818311874105861,0.02818311874105861
0.005,GDDY,LONG,1,1,1.0,0.02728266812465807,0.02728266812465807
0.005,BLDR,SHORT,1,1,1.0,0.026952667244102616,0.026952667244102616
0.005,C,LONG,1,1,1.0,0.026791307280874976,0.026791307280874976
0.005,CTSH,LONG,1,1,1.0,0.0266439470219193,0.0266439470219193
0.005,MSCI,LONG,1,1,1.0,0.026342835506031337,0.026342835506031337
0.005,CMCSA,LONG,1,1,1.0,0.02589673475953025,0.02589673475953025
0.005,ALB,LONG,1,1,1.0,0.02585830892890506,0.02585830892890506
0.005,TYL,LONG,1,1,1.0,0.025810340575937563,0.025810340575937563
0.005,BX,LONG,2,2,1.0,0.025651324068752812,0.051302648137505624
0.005,APH,SHORT,1,1,1.0,0.02542827509745722,0.02542827509745722
0.005,SWK,SHORT,1,1,1.0,0.02453680520781164,0.02453680520781164
0.005,CDW,LONG,3,3,1.0,0.024409739263114922,0.07322921778934477
0.005,FISV,LONG,1,1,1.0,0.024196167586878925,0.024196167586878925
0.005,ON,SHORT,1,1,1.0,0.0241379310344828,0.0241379310344828
0.005,ADBE,LONG,1,1,1.0,0.023085524654618883,0.023085524654618883
0.005,AKAM,LONG,2,2,1.0,0.022884732592243884,0.04576946518448777
0.005,CRM,LONG,1,1,1.0,0.02249038656142499,0.02249038656142499
0.005,NTAP,LONG,1,1,1.0,0.02176948135891199,0.02176948135891199
0.005,WFC,LONG,1,1,1.0,0.02160376159613686,0.02160376159613686
0.005,PSA,LONG,1,1,1.0,0.020767778477029486,0.020767778477029486
0.005,DECK,SHORT,1,1,1.0,0.02024439175633776,0.02024439175633776
0.005,COIN,LONG,2,2,1.0,0.020099512046845902,0.040199024093691804
0.005,HLT,LONG,1,1,1.0,0.01966004505426988,0.01966004505426988
0.005,PRU,LONG,1,1,1.0,0.019531660191116185,0.019531660191116185
0.005,PANW,LONG,1,1,1.0,0.019519426771264614,0.019519426771264614
