threshold,trading_date,symbol,event_bias,trade_direction,prior_relative_return,opening_return,entry_price,exit_price,trade_return
0.005,2026-03-03,ABNB,LONG,LONG,0.020284814216797287,-0.006132182602770819,131.28,133.06,0.013558805606337598
0.005,2026-03-03,ALB,LONG,LONG,0.02036571696721845,-0.024732620320855547,160.49,164.64,0.02585830892890506
0.005,2026-03-03,AMP,LONG,LONG,0.021957534655270727,-0.009092849519743873,464.24,465.6,0.002929519214199594
0.005,2026-03-03,APO,LONG,LONG,0.03420987314920265,-0.007204184348169385,100.6,107.11,0.06471172962226635
0.005,2026-03-03,ARES,LONG,LONG,0.02803504450509875,-0.006814623814347609,107.85,112.64,0.04441353732035247
0.005,2026-03-03,AXON,LONG,LONG,0.038818692979508906,-0.013397887323943647,560.39,579.39,0.03390495904637847
0.005,2026-03-03,BEN,LONG,LONG,0.033087253310243536,-0.006870229007633566,26.02,26.51,0.0188316679477325
0.005,2026-03-03,BX,LONG,LONG,0.036644759189616405,-0.02211981566820287,106.1,110.915,0.04538171536286528
0.005,2026-03-03,CBOE,SHORT,SHORT,-0.02584028495631019,0.014614621348446821,301.65,303.76,-0.006994861594563281
0.005,2026-03-03,CDW,LONG,LONG,0.023391941795553706,-0.00990790988324286,120.415,125.28,0.04040194327949176
0.005,2026-03-03,CF,SHORT,SHORT,-0.02902474371249486,0.012222487467175913,106.005,106.305,-0.0028300551860762357
0.005,2026-03-03,CFG,LONG,LONG,0.02221399297048854,-0.006224764468371391,59.07,59.66,0.009988149652954137
0.005,2026-03-03,CINF,LONG,LONG,0.0244055992954042,-0.005989458552946858,165.96,168.5,0.015304892745239718
0.005,2026-03-03,COHR,LONG,LONG,0.08129214578592658,-0.013932482388226308,282.745,280.63,-0.007480238377336468
0.005,2026-03-03,COIN,LONG,LONG,0.06500084146217322,-0.010265496681291397,175.955,182.37,0.03645818533147671
0.005,2026-03-03,DELL,LONG,LONG,0.03327759661575547,-0.025404848202706942,146.545,145.19,-0.009246306595243725
0.005,2026-03-03,DOV,LONG,LONG,0.02052145044388687,-0.008916012523254135,218.425,220.74,0.010598603639693227
0.005,2026-03-03,FDS,LONG,LONG,0.021439386063131227,-0.006416005519144563,216.03,222.81,0.03138452992639906
0.005,2026-03-03,FLEX,LONG,LONG,0.056141005011179246,-0.01031746031746028,62.35,63.07,0.011547714514835494
0.005,2026-03-03,GNRC,LONG,LONG,0.04693458604081702,-0.006509468317552836,218.25,221.17,0.01337915234822451
0.005,2026-03-03,GPN,LONG,LONG,0.028527939087488186,-0.006028833551769197,75.84,77.695,0.024459388185653852
0.005,2026-03-03,GRMN,LONG,LONG,0.02463725610098333,-0.011129739228795898,244.78,250.77,0.024470953509273752
0.005,2026-03-03,HPE,LONG,LONG,0.03870819502428402,-0.024126838235294268,21.235,21.64,0.019072286319755216
0.005,2026-03-03,IRM,LONG,LONG,0.02321588258199747,-0.014037869601716269,105.705,107.71,0.01896788231398694
0.005,2026-03-03,KEYS,LONG,LONG,0.02376045375167357,-0.012471040567851421,300.51,302.4,0.0062893081761006275
0.005,2026-03-03,KKR,LONG,LONG,0.04818426515927032,-0.007556093903212768,86.03,90.52,0.0521910961292571
