threshold,trading_date,trades,daily_return,wins,win_rate
0.005,2026-03-03,5,0.008856726036340778,4,0.8
0.005,2026-03-04,11,-0.00019041375329502397,6,0.5454545454545454
0.005,2026-03-05,10,0.008625811077139408,7,0.7
0.005,2026-03-06,19,0.0069264935979670775,13,0.6842105263157895
0.0075,2026-03-03,4,0.00456474142282895,3,0.75
0.0075,2026-03-04,7,0.0001088439284400479,5,0.7142857142857143
0.0075,2026-03-05,8,0.008516466642275698,6,0.75
0.0075,2026-03-06,14,0.00547469336759406,9,0.6428571428571429
0.01,2026-03-03,4,0.00456474142282895,3,0.75
0.01,2026-03-04,5,-0.0010263115387828766,3,0.6
0.01,2026-03-05,6,0.011003372440980893,5,0.8333333333333334
0.01,2026-03-06,12,0.00423414637775019,7,0.5833333333333334
0.0125,2026-03-03,2,-0.0017525267428432634,1,0.5
0.0125,2026-03-04,3,-0.009397117012461228,1,0.3333333333333333
0.0125,2026-03-05,4,0.007985833239079365,3,0.75
0.0125,2026-03-06,6,0.0012298667642190615,2,0.3333333333333333
0.015,2026-03-04,2,-0.007757989728998771,1,0.5
0.015,2026-03-05,3,0.009747839522852225,2,0.6666666666666666
0.015,2026-03-06,5,0.002714929777531612,2,0.4
