threshold,symbol,trade_direction,trades,wins,win_rate,avg_return,total_return
0.005,LRCX,SHORT,2,2,1.0,0.03508723747237067,0.07017447494474134
0.005,RKLB,LONG,1,1,1.0,0.023782398177157438,0.023782398177157438
0.005,ADBE,LONG,1,1,1.0,0.023085524654618883,0.023085524654618883
0.005,CRM,LONG,1,1,1.0,0.02249038656142499,0.02249038656142499
0.005,PANW,LONG,1,1,1.0,0.019519426771264614,0.019519426771264614
0.005,BAC,LONG,2,2,1.0,0.016884023480882138,0.033768046961764275
0.005,GS,LONG,1,1,1.0,0.01677195590239089,0.01677195590239089
0.005,IBM,LONG,1,1,1.0,0.01669547454431175,0.01669547454431175
0.005,VRT,LONG,1,1,1.0,0.016682614302949483,0.016682614302949483
0.005,PWR,LONG,2,2,1.0,0.015923321450644345,0.03184664290128869
0.005,MA,LONG,1,1,1.0,0.013763516005668608,0.013763516005668608
0.005,BKNG,LONG,1,1,1.0,0.013439687260681454,0.013439687260681454
0.005,ROK,SHORT,1,1,1.0,0.01232697832332194,0.01232697832332194
0.005,VZ,LONG,1,1,1.0,0.011480601741884477,0.011480601741884477
0.005,COP,SHORT,1,1,1.0,0.010878767355232058,0.010878767355232058
0.005,ENPH,LONG,2,2,1.0,0.009574787721374212,0.019149575442748423
0.005,NFLX,LONG,1,1,1.0,0.008248472505091753,0.008248472505091753
0.005,JPM,LONG,1,1,1.0,0.007302217585893445,0.007302217585893445
0.005,META,LONG,1,1,1.0,0.007012228451843683,0.007012228451843683
0.005,ELV,SHORT,2,1,0.5,0.006489370111773397,0.012978740223546795
0.005,TSLA,LONG,1,1,1.0,0.005081404874052842,0.005081404874052842
0.005,EQT,SHORT,1,1,1.0,0.005001613423684982,0.005001613423684982
0.005,NOC,LONG,1,1,1.0,0.003522802379378742,0.003522802379378742
0.005,ETN,SHORT,1,1,1.0,0.002699814387760784,0.002699814387760784
0.005,OXY,SHORT,2,1,0.5,0.0015048774402218936,0.0030097548804437872
0.005,DVN,SHORT,1,0,0.0,-0.0015753347586362164,-0.0015753347586362164
0.005,TMO,LONG,1,0,0.0,-0.0024630541871921707,-0.0024630541871921707
0.005,VST,SHORT,2,0,0.0,-0.005534001037036259,-0.011068002074072518
0.005,CW,SHORT,1,0,0.0,-0.00619544830234369,-0.00619544830234369
0.005,BLK,LONG,2,1,0.5,-0.006819653168865458,-0.013639306337730916
0.005,BRK.B,SHORT,1,0,0.0,-0.007616468934727796,-0.007616468934727796
0.005,CVX,SHORT,1,0,0.0,-0.008767268862911827,-0.008767268862911827
0.005,COST,SHORT,1,0,0.0,-0.010752361570938139,-0.010752361570938139
0.005,HUBB,SHORT,1,0,0.0,-0.011468873263591077,-0.011468873263591077
0.005,TGT,LONG,1,0,0.0,-0.02259312029310001,-0.02259312029310001
0.005,IREN,LONG,2,0,0.0,-0.02726165697483729,-0.05452331394967458
0.0075,LRCX,SHORT,2,2,1.0,0.03508723747237067,0.07017447494474134
0.0075,ADBE,LONG,1,1,1.0,0.023085524654618883,0.023085524654618883
0.0075,CRM,LONG,1,1,1.0,0.02249038656142499,0.02249038656142499
0.0075,BAC,LONG,2,2,1.0,0.016884023480882138,0.033768046961764275
0.0075,VRT,LONG,1,1,1.0,0.016682614302949483,0.016682614302949483
0.0075,MA,LONG,1,1,1.0,0.013763516005668608,0.013763516005668608
0.0075,ROK,SHORT,1,1,1.0,0.01232697832332194,0.01232697832332194
