threshold,trading_date,symbol,event_bias,trade_direction,prior_relative_return,opening_return,entry_price,exit_price,trade_return
0.005,2026-03-03,IREN,LONG,LONG,0.050448225595727925,-0.013363590519414825,39.13,38.855,-0.007027855865065269
0.005,2026-03-03,NOC,LONG,LONG,0.028370471875793557,-0.014537685954719493,756.5,759.165,0.003522802379378742
0.005,2026-03-03,PWR,LONG,LONG,0.020073787951979893,-0.005967081898649806,551.4,565.75,0.026024664490388094
0.005,2026-03-03,TSLA,LONG,LONG,0.024952283183116597,-0.011263256473208583,390.64,392.625,0.005081404874052842
0.005,2026-03-03,VRT,LONG,LONG,0.022131552956874634,-0.010823045267489673,240.37,244.38,0.016682614302949483
0.005,2026-03-04,BAC,LONG,LONG,0.03423577591819438,-0.010197960407918427,49.5,50.28,0.01575757575757586
0.005,2026-03-04,BLK,LONG,LONG,0.036965081605739414,-0.007896018420890827,1049.145,1049.22,7.148678209412118e-05
0.005,2026-03-04,BRK.B,SHORT,SHORT,-0.03030531209196663,0.005862785862785769,483.82,487.505,-0.007616468934727796
0.005,2026-03-04,ELV,SHORT,SHORT,-0.09754301984668723,0.013943661971830945,287.96,291.61,-0.012675371579386144
0.005,2026-03-04,ENPH,LONG,LONG,0.08617836870499662,-0.02551724137931033,42.39,42.69,0.007077140835102469
0.005,2026-03-04,JPM,LONG,LONG,0.029758907183222716,-0.010719398115782708,297.17,299.34,0.007302217585893445
0.005,2026-03-04,OXY,SHORT,SHORT,-0.06954672965173625,0.006587112171837717,52.72,53.6,-0.016691957511380928
0.005,2026-03-04,PWR,LONG,LONG,0.03794380055799751,-0.00941329079530917,565.1,568.39,0.005821978410900597
0.005,2026-03-04,RKLB,LONG,LONG,0.06983044182997244,-0.0073508623126943284,70.22,71.89,0.023782398177157438
0.005,2026-03-04,TGT,LONG,LONG,0.042919283590397095,-0.019752593774940097,122.825,120.05,-0.02259312029310001
0.005,2026-03-04,VST,SHORT,SHORT,-0.03327711164106362,0.006853967273850126,163.06,163.44,-0.0023304305163743128
0.005,2026-03-05,COP,SHORT,SHORT,-0.047330678725390984,0.009270730977912756,118.12,116.835,0.010878767355232058
0.005,2026-03-05,CVX,SHORT,SHORT,-0.038192910720468154,0.009169392460721681,188.2,189.85,-0.008767268862911827
0.005,2026-03-05,DVN,SHORT,SHORT,-0.05400938319343618,0.005771842462652943,44.435,44.505,-0.0015753347586362164
0.005,2026-03-05,ELV,SHORT,SHORT,-0.0778621094316666,0.017183200955199096,293.91,286.37,0.02565411180293294
0.005,2026-03-05,EQT,SHORT,SHORT,-0.02306485003138059,0.011257953989231462,61.98,61.67,0.005001613423684982
0.005,2026-03-05,ETN,SHORT,SHORT,-0.035833485006216304,0.014262079981744558,355.58,354.62,0.002699814387760784
0.005,2026-03-05,LRCX,SHORT,SHORT,-0.03255779500986944,0.011989200567427805,221.15,214.72,0.029075288265882914
0.005,2026-03-05,OXY,SHORT,SHORT,-0.0523234481514816,0.006299796183064643,54.31,53.24,0.019701712391824715
0.005,2026-03-05,ROK,SHORT,SHORT,-0.03368142558191867,0.015138259232747364,382.9,378.18,0.01232697832332194
0.005,2026-03-05,VST,SHORT,SHORT,-0.02908022169996105,0.022772795907676224,165.95,167.4,-0.008737571557698205
0.005,2026-03-06,ADBE,LONG,LONG,0.07338278134923559,-0.011481547512925516,277.23,283.63,0.023085524654618883
0.005,2026-03-06,BAC,LONG,LONG,0.037439548082251806,-0.016477857878475777,47.75,48.61,0.018010471204188416
0.005,2026-03-06,BKNG,LONG,LONG,0.08380075636393802,-0.005772465692784445,4491.92,4552.29,0.013439687260681454
0.005,2026-03-06,BLK,LONG,LONG,0.022976159533347973,-0.024081089795260358,968.58,955.3,-0.013710793119825038
0.005,2026-03-06,COST,SHORT,SHORT,-0.027551069130539174,0.021390789085888873,987.69,998.31,-0.010752361570938139
0.005,2026-03-06,CRM,LONG,LONG,0.03935313769074633,-0.019910242741315698,197.64,202.085,0.02249038656142499
0.005,2026-03-06,CW,SHORT,SHORT,-0.03399614565515363,0.013895751912911924,677.11,681.305,-0.00619544830234369
0.005,2026-03-06,ENPH,LONG,LONG,0.03968288919974294,-0.007736461192912492,39.76,40.24,0.012072434607645954
0.005,2026-03-06,GS,LONG,LONG,0.02074945760336422,-0.005230763543611294,807.3,820.84,0.01677195590239089
