gap_threshold,reversal_threshold,entry_window_minutes,trading_date,symbol,direction,previous_close,today_open,event_gap,post_open_move,entry_price,exit_price,trade_return,result
0.0,0.0015,5,2026-03-02,LRCX,SHORT,233.95,229.25,-0.02008976276982255,0.004362050163576825,230.25,230.88,-0.0027361563517915113,LOSS
0.0,0.0015,5,2026-03-03,F,SHORT,13.37,13.05,-0.02393418100224376,0.0045977011494251485,13.11,12.715,0.03012967200610218,WIN
0.0,0.0015,5,2026-03-03,MAS,SHORT,69.795,67.86,-0.027724049000644735,0.005968169761273234,68.265,68.03,0.003442466857100995,WIN
0.0,0.0015,5,2026-03-03,TEL,SHORT,211.885,204.18,-0.03636406541284176,0.009011656381624045,206.02,204.27,0.00849432093971459,WIN
0.0,0.0015,5,2026-03-04,BAC,LONG,49.98,50.01,0.0006002400960385401,-0.00779844031193766,49.62,50.28,0.01330108827085863,WIN
0.0,0.0015,5,2026-03-04,LYB,LONG,58.185,59.76,0.02706883217324041,-0.005187416331994599,59.45,61.925,0.0416316232127838,WIN
0.0,0.0015,5,2026-03-04,WFC,LONG,82.485,82.82,0.004061344486876228,-0.0073049987925620785,82.215,83.91,0.020616675789089545,WIN
0.0,0.0015,5,2026-03-04,XYZ,LONG,62.84,63.65,0.012889879057924825,-0.006441476826394288,63.24,65.25,0.03178368121442121,WIN
0.0,0.0015,5,2026-03-05,LITE,SHORT,680.18,639.55,-0.05973418800905639,0.013400046907982244,648.12,651.095,-0.0045901993458001954,LOSS
0.0,0.0015,5,2026-03-05,LRCX,SHORT,222.97,218.53,-0.0199129927792977,0.012652725026312206,221.295,214.72,0.02971147111321986,WIN
0.0,0.0015,5,2026-03-06,COHR,SHORT,253.78,239.0,-0.058239419970052775,0.03219665271966532,246.695,235.59,0.04501509961693585,WIN
0.0,0.0015,5,2026-03-06,LITE,SHORT,651.095,612.74,-0.05890845421943036,0.02904984169468272,630.54,558.225,0.1146874107907507,WIN
