option_symbol,timestamp_utc,timestamp_et,trading_date,open,high,low,close,volume,trade_count,vwap
ABNB260313C00130000,2026-03-03T14:30:00+00:00,2026-03-03 09:30:00-05:00,2026-03-03,5.0,5.0,5.0,5.0,4,1,5.0
ABNB260313C00130000,2026-03-03T15:45:00+00:00,2026-03-03 10:45:00-05:00,2026-03-03,4.16,4.16,4.16,4.16,10,1,4.16
ABNB260313C00130000,2026-03-03T17:10:00+00:00,2026-03-03 12:10:00-05:00,2026-03-03,4.52,4.52,4.52,4.52,1,1,4.52
ABNB260313C00130000,2026-03-03T20:25:00+00:00,2026-03-03 15:25:00-05:00,2026-03-03,5.55,5.55,5.55,5.55,1,1,5.55
ABNB260313C00130000,2026-03-03T20:45:00+00:00,2026-03-03 15:45:00-05:00,2026-03-03,5.39,5.39,5.39,5.39,1,1,5.39
ABNB260313C00130000,2026-03-04T14:45:00+00:00,2026-03-04 09:45:00-05:00,2026-03-04,6.47,6.47,6.47,6.47,1,1,6.47
ABNB260313C00130000,2026-03-04T16:40:00+00:00,2026-03-04 11:40:00-05:00,2026-03-04,8.38,8.38,8.38,8.38,1,1,8.38
ABNB260313C00130000,2026-03-04T20:30:00+00:00,2026-03-04 15:30:00-05:00,2026-03-04,7.38,7.38,7.38,7.38,2,2,7.38
ABNB260313C00130000,2026-03-05T14:30:00+00:00,2026-03-05 09:30:00-05:00,2026-03-05,7.49,7.49,7.49,7.49,1,1,7.49
ABNB260313C00130000,2026-03-05T16:45:00+00:00,2026-03-05 11:45:00-05:00,2026-03-05,6.77,6.77,6.77,6.77,1,1,6.77
ABNB260313C00130000,2026-03-05T16:55:00+00:00,2026-03-05 11:55:00-05:00,2026-03-05,6.77,6.77,6.77,6.77,1,1,6.77
ABNB260313C00130000,2026-03-05T17:05:00+00:00,2026-03-05 12:05:00-05:00,2026-03-05,7.45,7.45,7.45,7.45,1,1,7.45
ABNB260313C00130000,2026-03-05T17:10:00+00:00,2026-03-05 12:10:00-05:00,2026-03-05,7.45,7.45,7.45,7.45,1,1,7.45
ABNB260313C00130000,2026-03-05T17:35:00+00:00,2026-03-05 12:35:00-05:00,2026-03-05,7.05,7.05,7.05,7.05,2,1,7.05
ABNB260313C00130000,2026-03-06T14:30:00+00:00,2026-03-06 09:30:00-05:00,2026-03-06,4.82,4.82,4.82,4.82,3,1,4.82
ABNB260313C00130000,2026-03-06T14:40:00+00:00,2026-03-06 09:40:00-05:00,2026-03-06,4.94,5.1,4.94,5.1,3,3,5.01
ABNB260313C00130000,2026-03-06T14:50:00+00:00,2026-03-06 09:50:00-05:00,2026-03-06,4.33,4.33,4.33,4.33,1,1,4.33
ABNB260313C00130000,2026-03-06T14:55:00+00:00,2026-03-06 09:55:00-05:00,2026-03-06,4.15,4.15,4.15,4.15,1,1,4.15
ABNB260313C00130000,2026-03-06T15:05:00+00:00,2026-03-06 10:05:00-05:00,2026-03-06,4.19,4.19,4.19,4.19,1,1,4.19
ABNB260313C00130000,2026-03-06T15:40:00+00:00,2026-03-06 10:40:00-05:00,2026-03-06,5.08,5.08,5.08,5.08,1,1,5.08
ABNB260313C00130000,2026-03-06T15:45:00+00:00,2026-03-06 10:45:00-05:00,2026-03-06,5.11,5.21,5.11,5.21,3,3,5.15
ABNB260313C00130000,2026-03-06T17:10:00+00:00,2026-03-06 12:10:00-05:00,2026-03-06,5.0,5.0,5.0,5.0,1,1,5.0
ABNB260313C00130000,2026-03-06T20:00:00+00:00,2026-03-06 15:00:00-05:00,2026-03-06,5.08,5.08,5.08,5.08,1,1,5.08
ABNB260313C00130000,2026-03-06T20:40:00+00:00,2026-03-06 15:40:00-05:00,2026-03-06,5.24,5.24,5.24,5.24,1,1,5.24
ABNB260313C00131000,2026-03-03T14:30:00+00:00,2026-03-03 09:30:00-05:00,2026-03-03,4.4,4.4,4.4,4.4,2,1,4.4
ABNB260313C00131000,2026-03-03T15:55:00+00:00,2026-03-03 10:55:00-05:00,2026-03-03,3.3,3.3,3.3,3.3,4,1,3.3
ABNB260313C00131000,2026-03-03T18:30:00+00:00,2026-03-03 13:30:00-05:00,2026-03-03,4.91,4.91,4.91,4.91,1,1,4.91
ABNB260313C00131000,2026-03-04T18:30:00+00:00,2026-03-04 13:30:00-05:00,2026-03-04,6.74,6.74,6.74,6.74,5,2,6.74
ABNB260313C00131000,2026-03-04T20:50:00+00:00,2026-03-04 15:50:00-05:00,2026-03-04,6.4,6.4,6.4,6.4,4,2,6.4
ABNB260313C00131000,2026-03-05T15:20:00+00:00,2026-03-05 10:20:00-05:00,2026-03-05,7.13,7.13,7.13,7.13,1,1,7.13
ABNB260313C00131000,2026-03-06T14:30:00+00:00,2026-03-06 09:30:00-05:00,2026-03-06,4.1,4.1,4.1,4.1,2,1,4.1
ABNB260313C00131000,2026-03-06T14:40:00+00:00,2026-03-06 09:40:00-05:00,2026-03-06,4.11,4.11,4.11,4.11,1,1,4.11
ABNB260313C00131000,2026-03-06T14:50:00+00:00,2026-03-06 09:50:00-05:00,2026-03-06,3.62,3.62,3.62,3.62,1,1,3.62
ABNB260313C00131000,2026-03-06T19:05:00+00:00,2026-03-06 14:05:00-05:00,2026-03-06,3.99,3.99,3.99,3.99,1,1,3.99
ABNB260313C00131000,2026-03-06T20:00:00+00:00,2026-03-06 15:00:00-05:00,2026-03-06,4.43,4.43,4.43,4.43,1,1,4.43
ABNB260313C00133000,2026-03-04T14:45:00+00:00,2026-03-04 09:45:00-05:00,2026-03-04,4.15,4.15,4.15,4.15,1,1,4.15
ABNB260313C00133000,2026-03-04T15:25:00+00:00,2026-03-04 10:25:00-05:00,2026-03-04,5.9,5.9,5.9,5.9,2,2,5.9
ABNB260313C00133000,2026-03-04T15:35:00+00:00,2026-03-04 10:35:00-05:00,2026-03-04,5.7,5.7,5.7,5.7,1,1,5.7
ABNB260313C00133000,2026-03-04T18:10:00+00:00,2026-03-04 13:10:00-05:00,2026-03-04,5.64,5.64,5.64,5.64,1,1,5.64
ABNB260313C00133000,2026-03-04T18:35:00+00:00,2026-03-04 13:35:00-05:00,2026-03-04,5.41,5.41,5.41,5.41,1,1,5.41
ABNB260313C00133000,2026-03-04T18:50:00+00:00,2026-03-04 13:50:00-05:00,2026-03-04,5.48,5.48,5.48,5.48,1,1,5.48
ABNB260313C00133000,2026-03-05T16:20:00+00:00,2026-03-05 11:20:00-05:00,2026-03-05,4.3,4.3,4.3,4.3,8,1,4.3
ABNB260313C00133000,2026-03-05T17:05:00+00:00,2026-03-05 12:05:00-05:00,2026-03-05,5.12,5.12,5.12,5.12,19,1,5.12
ABNB260313C00133000,2026-03-05T17:10:00+00:00,2026-03-05 12:10:00-05:00,2026-03-05,4.93,4.93,4.93,4.93,2,2,4.93
ABNB260313C00133000,2026-03-06T14:30:00+00:00,2026-03-06 09:30:00-05:00,2026-03-06,2.98,2.98,2.98,2.98,5,1,2.98
ABNB260313C00133000,2026-03-06T14:45:00+00:00,2026-03-06 09:45:00-05:00,2026-03-06,2.75,2.75,2.75,2.75,1,1,2.75
ABNB260313C00133000,2026-03-06T14:55:00+00:00,2026-03-06 09:55:00-05:00,2026-03-06,2.5,2.5,2.5,2.5,1,1,2.5
ABNB260313C00133000,2026-03-06T15:30:00+00:00,2026-03-06 10:30:00-05:00,2026-03-06,3.2,3.2,3.2,3.2,3,1,3.2
ABNB260313C00133000,2026-03-06T15:35:00+00:00,2026-03-06 10:35:00-05:00,2026-03-06,3.35,3.35,3.35,3.35,1,1,3.35
