symbol,trade_direction,option_type,trades,wins,win_rate,avg_option_return,median_option_return,total_option_return,best_trade,worst_trade,avg_contract_cost,score
COHR,SHORT,put,1,1,1.0,1.1737527716186253,1.1737527716186253,1.1737527716186253,1.1737527716186253,1.1737527716186253,902.0,1.1737527716186253
SBUX,LONG,call,1,1,1.0,1.12524719841793,1.12524719841793,1.12524719841793,1.12524719841793,1.12524719841793,113.775,1.12524719841793
F,SHORT,put,2,2,1.0,0.4727545489740612,0.4727545489740612,0.9455090979481224,0.6205962059620598,0.32491289198606266,28.1875,0.9455090979481224
WFC,LONG,call,3,3,1.0,0.2946044663910558,0.3781873614190687,0.8838133991731674,0.48493543758966995,0.020690600164428696,196.45833333333334,0.8838133991731674
BX,LONG,call,2,2,1.0,0.43058408215661115,0.43058408215661115,0.8611681643132223,0.8148267008985881,0.04634146341463419,348.5,0.8611681643132223
CRWD,LONG,call,1,1,1.0,0.7774216027874568,0.7774216027874568,0.7774216027874568,0.7774216027874568,0.7774216027874568,1434.9999999999998,0.7774216027874568
LRCX,SHORT,put,2,2,1.0,0.38263087697255505,0.38263087697255505,0.7652617539451101,0.6397350012953846,0.12552675264972546,827.175,0.7652617539451101
STZ,SHORT,put,1,1,1.0,0.7597560975609756,0.7597560975609756,0.7597560975609756,0.7597560975609756,0.7597560975609756,204.99999999999997,0.7597560975609756
TXN,SHORT,put,1,1,1.0,0.7572528883183569,0.7572528883183569,0.7572528883183569,0.7572528883183569,0.7572528883183569,389.49999999999994,0.7572528883183569
LITE,SHORT,put,1,1,1.0,0.737293262114679,0.737293262114679,0.737293262114679,0.737293262114679,0.737293262114679,3884.7499999999995,0.737293262114679
GLW,SHORT,put,1,1,1.0,0.6220795892169448,0.6220795892169448,0.6220795892169448,0.6220795892169448,0.6220795892169448,486.87499999999994,0.6220795892169448
BAC,LONG,call,2,2,1.0,0.29830475730499895,0.29830475730499895,0.5966095146099979,0.3063414634146344,0.2902680511953635,90.2,0.5966095146099979
INTU,LONG,call,1,1,1.0,0.5851121951219513,0.5851121951219513,0.5851121951219513,0.5851121951219513,0.5851121951219513,1281.2499999999998,0.5851121951219513
TTD,LONG,call,1,1,1.0,0.494773519163763,0.494773519163763,0.494773519163763,0.494773519163763,0.494773519163763,107.625,0.494773519163763
XYZ,LONG,call,2,2,1.0,0.2359401899490121,0.2359401899490121,0.4718803798980242,0.38404955478126235,0.08783082511676188,193.21249999999998,0.4718803798980242
APP,LONG,call,2,2,1.0,0.21511818865920063,0.21511818865920063,0.43023637731840125,0.4078048780487804,0.022431499269620847,2410.7999999999997,0.43023637731840125
GDDY,LONG,call,1,1,1.0,0.3909341923607914,0.3909341923607914,0.3909341923607914,0.3909341923607914,0.3909341923607914,217.3,0.3909341923607914
FISV,LONG,call,1,1,1.0,0.3577235772357725,0.3577235772357725,0.3577235772357725,0.3577235772357725,0.3577235772357725,119.925,0.3577235772357725
IBM,LONG,call,1,1,1.0,0.3396191617870812,0.3396191617870812,0.3396191617870812,0.3396191617870812,0.3396191617870812,542.2249999999999,0.3396191617870812
T,LONG,call,1,1,1.0,0.30452961672473866,0.30452961672473866,0.30452961672473866,0.30452961672473866,0.30452961672473866,35.87499999999999,0.30452961672473866
CRM,LONG,call,1,1,1.0,0.29666238767650843,0.29666238767650843,0.29666238767650843,0.29666238767650843,0.29666238767650843,389.49999999999994,0.29666238767650843
BBY,LONG,call,1,1,1.0,0.2948859166011015,0.2948859166011015,0.2948859166011015,0.2948859166011015,0.2948859166011015,158.875,0.2948859166011015
WDAY,LONG,call,2,1,0.5,0.23639973617466892,0.23639973617466892,0.47279947234933783,0.5327707779447466,-0.05997130559540875,434.0874999999999,0.23639973617466892
CMCSA,LONG,call,2,1,0.5,0.20515376458112422,0.20515376458112422,0.41030752916224844,0.5922587486744435,-0.18195121951219506,49.199999999999996,0.20515376458112422
NCLH,SHORT,put,1,1,1.0,0.18512594962015205,0.18512594962015205,0.18512594962015205,0.18512594962015205,0.18512594962015205,62.525,0.18512594962015205
UBER,LONG,call,1,1,1.0,0.18310884601383348,0.18310884601383348,0.18310884601383348,0.18310884601383348,0.18310884601383348,206.02499999999995,0.18310884601383348
BKNG,LONG,call,1,1,1.0,0.18004578104033464,0.18004578104033464,0.18004578104033464,0.18004578104033464,0.18004578104033464,9501.75,0.18004578104033464
C,LONG,call,2,1,0.5,0.17583104052638288,0.17583104052638288,0.35166208105276575,0.36401288541187315,-0.012350804359107403,256.25,0.17583104052638288
HPE,LONG,call,1,1,1.0,0.16002379535990485,0.16002379535990485,0.16002379535990485,0.16002379535990485,0.16002379535990485,84.05,0.16002379535990485
LEN,SHORT,put,1,1,1.0,0.1353265145554683,0.1353265145554683,0.1353265145554683,0.1353265145554683,0.1353265145554683,317.75,0.1353265145554683
JPM,LONG,call,1,1,1.0,0.114870180959874,0.114870180959874,0.114870180959874,0.114870180959874,0.114870180959874,476.62500000000006,0.114870180959874
EBAY,LONG,call,1,1,1.0,0.09904416611733691,0.09904416611733691,0.09904416611733691,0.09904416611733691,0.09904416611733691,151.7,0.09904416611733691
TTWO,LONG,call,2,1,0.5,0.08214579336804606,0.08214579336804606,0.16429158673609212,0.18902439024390238,-0.024732803507810264,346.45,0.08214579336804606
DG,SHORT,put,1,1,1.0,0.06479796141245009,0.06479796141245009,0.06479796141245009,0.06479796141245009,0.06479796141245009,686.75,0.06479796141245009
CIEN,SHORT,put,1,1,1.0,0.06257876182424349,0.06257876182424349,0.06257876182424349,0.06257876182424349,0.06257876182424349,1567.225,0.06257876182424349
ADSK,LONG,call,1,1,1.0,0.059312638580931276,0.059312638580931276,0.059312638580931276,0.059312638580931276,0.059312638580931276,451.0,0.059312638580931276
AXP,LONG,call,1,1,1.0,0.056910569105691255,0.056910569105691255,0.056910569105691255,0.056910569105691255,0.056910569105691255,830.2499999999999,0.056910569105691255
NRG,SHORT,put,1,1,1.0,0.05004751346214764,0.05004751346214764,0.05004751346214764,0.05004751346214764,0.05004751346214764,394.62499999999994,0.05004751346214764
META,LONG,call,1,1,1.0,0.04422764227642295,0.04422764227642295,0.04422764227642295,0.04422764227642295,0.04422764227642295,1153.1249999999998,0.04422764227642295
KKR,LONG,call,1,1,1.0,0.03818815331010472,0.03818815331010472,0.03818815331010472,0.03818815331010472,0.03818815331010472,358.74999999999994,0.03818815331010472
MAR,LONG,call,1,1,1.0,0.026713124274099886,0.026713124274099886,0.026713124274099886,0.026713124274099886,0.026713124274099886,645.75,0.026713124274099886
STX,SHORT,put,2,1,0.5,0.02481934985745976,0.02481934985745976,0.04963869971491952,0.12065548780487823,-0.0710167880899587,1806.5625,0.02481934985745976
HAL,SHORT,put,1,1,1.0,0.01970731707317075,0.01970731707317075,0.01970731707317075,0.01970731707317075,0.01970731707317075,128.125,0.01970731707317075
OXY,SHORT,put,3,1,0.3333333333333333,0.017134296781222618,-0.06767888870941685,0.05140289034366785,0.3568866571018652,-0.23780487804878048,151.35833333333332,0.017134296781222618
HLT,LONG,call,1,1,1.0,0.016820857863751204,0.016820857863751204,0.016820857863751204,0.016820857863751204,0.016820857863751204,594.4999999999999,0.016820857863751204
CF,SHORT,put,1,1,1.0,0.005062126092959085,0.005062126092959085,0.005062126092959085,0.005062126092959085,0.005062126092959085,271.62499999999994,0.005062126092959085
CVNA,LONG,call,1,0,0.0,-0.004742547425474308,-0.004742547425474308,-0.004742547425474308,-0.004742547425474308,-0.004742547425474308,1107.0,-0.0
TSLA,LONG,call,1,0,0.0,-0.009720749381406768,-0.009720749381406768,-0.009720749381406768,-0.009720749381406768,-0.009720749381406768,848.6999999999998,-0.0
FTNT,LONG,call,1,0,0.0,-0.02253994953742633,-0.02253994953742633,-0.02253994953742633,-0.02253994953742633,-0.02253994953742633,148.62499999999997,-0.0
URI,LONG,call,1,0,0.0,-0.026132404181184676,-0.026132404181184676,-0.026132404181184676,-0.026132404181184676,-0.026132404181184676,1722.0,-0.0
RDDT,LONG,call,1,0,0.0,-0.03368176538908241,-0.03368176538908241,-0.03368176538908241,-0.03368176538908241,-0.03368176538908241,645.75,-0.0
COP,SHORT,put,1,0,0.0,-0.04160147261849956,-0.04160147261849956,-0.04160147261849956,-0.04160147261849956,-0.04160147261849956,271.62499999999994,-0.0
HUM,SHORT,put,2,0,0.0,-0.0477554667788056,-0.0477554667788056,-0.0955109335576112,-0.04673044575273322,-0.04878048780487798,437.67499999999995,-0.0
DECK,SHORT,put,1,0,0.0,-0.04878048780487798,-0.04878048780487798,-0.04878048780487798,-0.04878048780487798,-0.04878048780487798,271.62499999999994,-0.0
MGM,LONG,call,1,0,0.0,-0.04878048780487798,-0.04878048780487798,-0.04878048780487798,-0.04878048780487798,-0.04878048780487798,100.44999999999999,-0.0
IBKR,LONG,call,1,0,0.0,-0.04878048780487809,-0.04878048780487809,-0.04878048780487809,-0.04878048780487809,-0.04878048780487809,107.625,-0.0
DVN,SHORT,put,1,0,0.0,-0.05838876570583873,-0.05838876570583873,-0.05838876570583873,-0.05838876570583873,-0.05838876570583873,101.47499999999998,-0.0
ABNB,LONG,call,1,0,0.0,-0.0665935872841874,-0.0665935872841874,-0.0665935872841874,-0.0665935872841874,-0.0665935872841874,273.67499999999995,-0.0
MCD,SHORT,put,1,0,0.0,-0.07819964797586121,-0.07819964797586121,-0.07819964797586121,-0.07819964797586121,-0.07819964797586121,298.275,-0.0
PYPL,LONG,call,1,0,0.0,-0.1132699462587845,-0.1132699462587845,-0.1132699462587845,-0.1132699462587845,-0.1132699462587845,120.94999999999997,-0.0
APA,SHORT,put,2,0,0.0,-0.11440185830429728,-0.11440185830429728,-0.22880371660859455,-0.017421602787456414,-0.21138211382113814,106.6,-0.0
CVX,SHORT,put,1,0,0.0,-0.12220795892169445,-0.12220795892169445,-0.12220795892169445,-0.12220795892169445,-0.12220795892169445,292.12499999999994,-0.0
MS,LONG,call,1,0,0.0,-0.12538877066623,-0.12538877066623,-0.12538877066623,-0.12538877066623,-0.12538877066623,305.44999999999993,-0.0
PM,SHORT,put,1,0,0.0,-0.12804878048780488,-0.12804878048780488,-0.12804878048780488,-0.12804878048780488,-0.12804878048780488,184.5,-0.0
NFLX,LONG,call,1,0,0.0,-0.14662020905923334,-0.14662020905923334,-0.14662020905923334,-0.14662020905923334,-0.14662020905923334,179.37499999999997,-0.0
HOOD,LONG,call,1,0,0.0,-0.16051103368176545,-0.16051103368176545,-0.16051103368176545,-0.16051103368176545,-0.16051103368176545,322.875,-0.0
TER,LONG,call,1,0,0.0,-0.16802757158006354,-0.16802757158006354,-0.16802757158006354,-0.16802757158006354,-0.16802757158006354,1414.5,-0.0
BSX,SHORT,put,1,0,0.0,-0.18724915097252226,-0.18724915097252226,-0.18724915097252226,-0.18724915097252226,-0.18724915097252226,161.95,-0.0
VST,SHORT,put,1,0,0.0,-0.19934595994004645,-0.19934595994004645,-0.19934595994004645,-0.19934595994004645,-0.19934595994004645,550.425,-0.0
LITE,LONG,call,1,0,0.0,-0.2044543140736481,-0.2044543140736481,-0.2044543140736481,-0.2044543140736481,-0.2044543140736481,5392.524999999999,-0.0
GS,LONG,call,1,0,0.0,-0.20864612238936764,-0.20864612238936764,-0.20864612238936764,-0.20864612238936764,-0.20864612238936764,2567.625,-0.0
DLTR,SHORT,put,2,0,0.0,-0.21090196674858114,-0.21090196674858114,-0.4218039334971623,-0.09342255877432426,-0.328381374722838,311.0875,-0.0
DE,SHORT,put,1,0,0.0,-0.2140946595339558,-0.2140946595339558,-0.2140946595339558,-0.2140946595339558,-0.2140946595339558,1102.8999999999999,-0.0
VRT,LONG,call,1,0,0.0,-0.2158866183256427,-0.2158866183256427,-0.2158866183256427,-0.2158866183256427,-0.2158866183256427,1517.0,-0.0
TPR,LONG,call,1,0,0.0,-0.23757214671383353,-0.23757214671383353,-0.23757214671383353,-0.23757214671383353,-0.23757214671383353,268.54999999999995,-0.0
WYNN,LONG,call,1,0,0.0,-0.24795280443779155,-0.24795280443779155,-0.24795280443779155,-0.24795280443779155,-0.24795280443779155,283.92499999999995,-0.0
DOW,LONG,call,1,0,0.0,-0.2511676180591592,-0.2511676180591592,-0.2511676180591592,-0.2511676180591592,-0.2511676180591592,96.35,-0.0
ANET,SHORT,put,1,0,0.0,-0.29926829268292676,-0.29926829268292676,-0.29926829268292676,-0.29926829268292676,-0.29926829268292676,307.5,-0.0
CVNA,SHORT,put,1,0,0.0,-0.3029857022708158,-0.3029857022708158,-0.3029857022708158,-0.3029857022708158,-0.3029857022708158,1188.9999999999998,-0.0
MRVL,SHORT,put,1,0,0.0,-0.3067383216205043,-0.3067383216205043,-0.3067383216205043,-0.3067383216205043,-0.3067383216205043,302.375,-0.0
PCG,SHORT,put,1,0,0.0,-0.31631097560975596,-0.31631097560975596,-0.31631097560975596,-0.31631097560975596,-0.31631097560975596,32.8,-0.0
DAL,LONG,call,1,0,0.0,-0.316674962667994,-0.316674962667994,-0.316674962667994,-0.316674962667994,-0.316674962667994,251.125,-0.0
BRK.B,SHORT,put,1,0,0.0,-0.3449830194504476,-0.3449830194504476,-0.3449830194504476,-0.3449830194504476,-0.3449830194504476,404.875,-0.0
INTC,LONG,call,1,0,0.0,-0.3545296167247387,-0.3545296167247387,-0.3545296167247387,-0.3545296167247387,-0.3545296167247387,143.49999999999997,-0.0
TMO,LONG,call,1,0,0.0,-0.3741976893453144,-0.3741976893453144,-0.3741976893453144,-0.3741976893453144,-0.3741976893453144,778.9999999999999,-0.0
GNRC,LONG,call,1,0,0.0,-0.420620842572062,-0.420620842572062,-0.420620842572062,-0.420620842572062,-0.420620842572062,563.7499999999999,-0.0
DELL,LONG,call,1,0,0.0,-0.42888627681457525,-0.42888627681457525,-0.42888627681457525,-0.42888627681457525,-0.42888627681457525,510.45,-0.0
RCL,LONG,call,1,0,0.0,-0.47125672891606296,-0.47125672891606296,-0.47125672891606296,-0.47125672891606296,-0.47125672891606296,752.3499999999999,-0.0
COST,SHORT,put,1,0,0.0,-0.5344462058559505,-0.5344462058559505,-0.5344462058559505,-0.5344462058559505,-0.5344462058559505,1308.9249999999997,-0.0
TGT,LONG,call,1,0,0.0,-0.5356758991318726,-0.5356758991318726,-0.5356758991318726,-0.5356758991318726,-0.5356758991318726,302.375,-0.0
UAL,LONG,call,1,0,0.0,-0.5491219512195122,-0.5491219512195122,-0.5491219512195122,-0.5491219512195122,-0.5491219512195122,512.5,-0.0
COHR,LONG,call,2,1,0.5,-0.025727102629682974,-0.025727102629682974,-0.05145420525936595,0.04948993321427686,-0.10094413847364281,1305.3375,-0.025727102629682974
MA,LONG,call,2,1,0.5,-0.039067778255873764,-0.039067778255873764,-0.07813555651174753,0.1583398898505115,-0.23647544636225903,738.5125,-0.039067778255873764
