signal_id,trading_date,symbol,trade_direction,option_type,option_symbol,target_dte,actual_dte,moneyness_mode,underlying_entry_price,target_strike,strike_price,slippage_per_side,entry_timestamp_et,exit_timestamp_et,raw_entry_premium,raw_exit_premium,entry_fill_premium,exit_fill_premium,entry_contract_cost,exit_contract_value,pnl_per_contract,option_return,entry_bar_volume,exit_bar_volume,result
2026-03-03:APP:LONG,2026-03-03,APP,LONG,call,APP260313C00417500,7,10,OTM_1,412.995,417.12495,417.5,0.025,2026-03-03 09:45:00-05:00,2026-03-03 13:00:00-05:00,25.0,37.0,25.624999999999996,36.074999999999996,2562.4999999999995,3607.4999999999995,1045.0,0.4078048780487804,10,1,WIN
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,BX260313C00107000,7,10,OTM_1,106.42,107.4842,107.0,0.025,2026-03-03 09:45:00-05:00,2026-03-03 13:20:00-05:00,3.8,7.25,3.8949999999999996,7.06875,389.49999999999994,706.875,317.375,0.8148267008985881,5,1,WIN
2026-03-03:COHR:LONG,2026-03-03,COHR,LONG,call,COHR260313C00287500,7,10,OTM_1,283.55,286.38550000000004,287.5,0.025,2026-03-03 14:25:00-05:00,2026-03-03 15:55:00-05:00,15.5,14.65,15.8875,14.28375,1588.75,1428.375,-160.37499999999997,-0.10094413847364281,2,2,LOSS
2026-03-03:DELL:LONG,2026-03-03,DELL,LONG,call,DELL260313C00149000,7,10,OTM_1,147.755,149.23255,149.0,0.025,2026-03-03 09:40:00-05:00,2026-03-03 15:40:00-05:00,4.98,2.99,5.1045,2.9152500000000003,510.45,291.52500000000003,-218.92499999999995,-0.42888627681457525,3,2,LOSS
2026-03-03:DLTR:SHORT,2026-03-03,DLTR,SHORT,put,DLTR260313P00117000,7,10,OTM_1,118.3,117.11699999999999,117.0,0.025,2026-03-03 09:45:00-05:00,2026-03-03 14:00:00-05:00,3.3,2.33,3.3824999999999994,2.27175,338.24999999999994,227.17499999999998,-111.07499999999995,-0.328381374722838,1,1,LOSS
2026-03-03:F:SHORT,2026-03-03,F,SHORT,put,F260313P00013000,7,10,OTM_1,13.13,12.998700000000001,13.0,0.025,2026-03-03 09:40:00-05:00,2026-03-03 15:55:00-05:00,0.27,0.46,0.27675,0.4485,27.675,44.85,17.175,0.6205962059620598,1,1,WIN
2026-03-03:HAL:SHORT,2026-03-03,HAL,SHORT,put,HAL260313P00035500,7,10,OTM_1,35.775,35.417249999999996,35.5,0.025,2026-03-03 09:40:00-05:00,2026-03-03 14:25:00-05:00,1.25,1.34,1.28125,1.3065,128.125,130.65,2.5249999999999995,0.01970731707317075,10,1,WIN
2026-03-03:HPE:LONG,2026-03-03,HPE,LONG,call,HPE260313C00022000,7,10,OTM_1,21.61,21.8261,22.0,0.025,2026-03-03 09:55:00-05:00,2026-03-03 14:40:00-05:00,0.82,1.0,0.8404999999999999,0.975,84.05,97.5,13.450000000000006,0.16002379535990485,1,3,WIN
2026-03-03:LITE:LONG,2026-03-03,LITE,LONG,call,LITE260313C00717500,7,10,OTM_1,710.68,717.7868,717.5,0.025,2026-03-03 12:00:00-05:00,2026-03-03 15:55:00-05:00,52.61,44.0,53.92524999999999,42.9,5392.524999999999,4290.0,-1102.5249999999992,-0.2044543140736481,1,2,LOSS
2026-03-03:MCD:SHORT,2026-03-03,MCD,SHORT,put,MCD260313P00327500,7,10,OTM_1,331.825,328.50675,327.5,0.025,2026-03-03 09:40:00-05:00,2026-03-03 15:35:00-05:00,2.91,2.82,2.98275,2.7495,298.275,274.95,-23.324999999999996,-0.07819964797586121,10,20,LOSS
2026-03-03:STX:SHORT,2026-03-03,STX,SHORT,put,STX260313P00357500,7,10,OTM_1,362.25,358.6275,357.5,0.025,2026-03-03 11:30:00-05:00,2026-03-03 15:55:00-05:00,19.25,18.8,19.73125,18.330000000000002,1973.125,1833.0000000000002,-140.12499999999974,-0.0710167880899587,1,1,LOSS
2026-03-03:TER:LONG,2026-03-03,TER,LONG,call,TER260313C00310000,7,10,OTM_1,306.115,309.17615,310.0,0.025,2026-03-03 11:15:00-05:00,2026-03-03 15:55:00-05:00,13.8,12.07,14.145,11.76825,1414.5,1176.825,-237.67499999999995,-0.16802757158006354,1,2,LOSS
2026-03-03:TTD:LONG,2026-03-03,TTD,LONG,call,TTD260313C00024000,7,10,OTM_1,23.76,23.997600000000002,24.0,0.025,2026-03-03 09:55:00-05:00,2026-03-03 15:50:00-05:00,1.05,1.65,1.07625,1.60875,107.625,160.875,53.25,0.494773519163763,2,1,WIN
2026-03-03:WFC:LONG,2026-03-03,WFC,LONG,call,WFC260313C00081000,7,10,OTM_1,80.32,81.1232,81.0,0.025,2026-03-03 10:10:00-05:00,2026-03-03 14:05:00-05:00,2.21,3.45,2.26525,3.36375,226.525,336.375,109.85000000000001,0.48493543758966995,2,2,WIN
2026-03-03:XYZ:LONG,2026-03-03,XYZ,LONG,call,XYZ260313C00063000,7,10,OTM_1,62.5,63.125,63.0,0.025,2026-03-03 09:45:00-05:00,2026-03-03 15:55:00-05:00,1.88,2.15,1.9269999999999998,2.09625,192.7,209.625,16.92500000000001,0.08783082511676188,23,5,WIN
2026-03-04:ANET:SHORT,2026-03-04,ANET,SHORT,put,ANET260313P00128000,7,9,OTM_1,128.94,127.6506,128.0,0.025,2026-03-04 11:25:00-05:00,2026-03-04 15:55:00-05:00,3.0,2.21,3.0749999999999997,2.15475,307.5,215.475,-92.02499999999998,-0.29926829268292676,1,1,LOSS
2026-03-04:APA:SHORT,2026-03-04,APA,SHORT,put,APA260313P00031000,7,9,OTM_1,31.095,30.784049999999997,31.0,0.025,2026-03-04 10:35:00-05:00,2026-03-04 15:40:00-05:00,1.17,0.97,1.19925,0.94575,119.925,94.575,-25.349999999999994,-0.21138211382113814,1,4,LOSS
2026-03-04:BAC:LONG,2026-03-04,BAC,LONG,call,BAC260313C00050000,7,9,OTM_1,49.46,49.9546,50.0,0.025,2026-03-04 09:40:00-05:00,2026-03-04 15:55:00-05:00,0.75,1.03,0.7687499999999999,1.00425,76.875,100.42500000000001,23.550000000000015,0.3063414634146344,21,8,WIN
2026-03-04:BBY:LONG,2026-03-04,BBY,LONG,call,BBY260313C00067000,7,9,OTM_1,66.03,66.69030000000001,67.0,0.025,2026-03-04 09:40:00-05:00,2026-03-04 15:45:00-05:00,1.55,2.11,1.5887499999999999,2.05725,158.875,205.72499999999997,46.849999999999994,0.2948859166011015,1,13,WIN
2026-03-04:BRK.B:SHORT,2026-03-04,BRK.B,SHORT,put,BRKB260313P00480000,7,9,OTM_1,485.25,480.3975,480.0,0.025,2026-03-04 09:40:00-05:00,2026-03-04 15:55:00-05:00,3.95,2.72,4.04875,2.652,404.875,265.2,-139.67499999999998,-0.3449830194504476,3,8,LOSS
2026-03-04:C:LONG,2026-03-04,C,LONG,call,C260313C00112000,7,9,OTM_1,111.14,112.2514,112.0,0.025,2026-03-04 09:40:00-05:00,2026-03-04 15:55:00-05:00,2.35,2.44,2.40875,2.379,240.875,237.9,-2.9749999999999943,-0.012350804359107403,7,1,LOSS
2026-03-04:COHR:LONG,2026-03-04,COHR,LONG,call,COHR260313C00287500,7,9,OTM_1,284.045,286.88545,287.5,0.025,2026-03-04 10:00:00-05:00,2026-03-04 15:55:00-05:00,9.97,11.0,10.21925,10.725,1021.9250000000001,1072.5,50.5749999999999,0.04948993321427686,2,1,WIN
2026-03-04:CRWD:LONG,2026-03-04,CRWD,LONG,call,CRWD260313C00387500,7,9,OTM_1,384.08,387.9208,387.5,0.025,2026-03-04 09:40:00-05:00,2026-03-04 14:40:00-05:00,14.0,26.16,14.349999999999998,25.506,1434.9999999999998,2550.6,1115.6000000000001,0.7774216027874568,1,1,WIN
2026-03-04:DAL:LONG,2026-03-04,DAL,LONG,call,DAL260313C00065000,7,9,OTM_1,64.19,64.8319,65.0,0.025,2026-03-04 09:55:00-05:00,2026-03-04 15:25:00-05:00,2.45,1.76,2.51125,1.716,251.125,171.6,-79.525,-0.316674962667994,1,34,LOSS
2026-03-04:F:SHORT,2026-03-04,F,SHORT,put,F260313P00013000,7,9,OTM_1,13.14,13.008600000000001,13.0,0.025,2026-03-04 09:50:00-05:00,2026-03-04 15:55:00-05:00,0.28,0.39,0.287,0.38025,28.7,38.025,9.325,0.32491289198606266,28,6,WIN
2026-03-04:GS:LONG,2026-03-04,GS,LONG,call,GS260313C00870000,7,9,OTM_1,861.91,870.5291,870.0,0.025,2026-03-04 10:00:00-05:00,2026-03-04 15:55:00-05:00,25.05,20.84,25.67625,20.319,2567.625,2031.8999999999999,-535.725,-0.20864612238936764,1,3,LOSS
2026-03-04:HUM:SHORT,2026-03-04,HUM,SHORT,put,HUM260313P00180000,7,9,OTM_1,182.23,180.40769999999998,180.0,0.025,2026-03-04 10:25:00-05:00,2026-03-04 15:00:00-05:00,3.9,3.9,3.9974999999999996,3.8024999999999998,399.74999999999994,380.25,-19.499999999999986,-0.04878048780487798,2,2,LOSS
2026-03-04:IBKR:LONG,2026-03-04,IBKR,LONG,call,IBKR260313C00071000,7,9,OTM_1,70.13,70.8313,71.0,0.025,2026-03-04 13:35:00-05:00,2026-03-04 15:15:00-05:00,1.05,1.05,1.07625,1.02375,107.625,102.375,-5.249999999999999,-0.04878048780487809,4,2,LOSS
2026-03-04:JPM:LONG,2026-03-04,JPM,LONG,call,JPM260313C00300000,7,9,OTM_1,297.84,300.8184,300.0,0.025,2026-03-04 09:40:00-05:00,2026-03-04 15:55:00-05:00,4.65,5.45,4.76625,5.31375,476.62500000000006,531.375,54.74999999999994,0.114870180959874,89,69,WIN
2026-03-04:MA:LONG,2026-03-04,MA,LONG,call,MA260313C00527500,7,9,OTM_1,522.435,527.6593499999999,527.5,0.025,2026-03-04 11:10:00-05:00,2026-03-04 12:20:00-05:00,8.21,6.59,8.41525,6.42525,841.5250000000001,642.525,-199.00000000000003,-0.23647544636225903,1,1,LOSS
2026-03-04:MS:LONG,2026-03-04,MS,LONG,call,MS260313C00170000,7,9,OTM_1,167.56,169.2356,170.0,0.025,2026-03-04 11:10:00-05:00,2026-03-04 15:05:00-05:00,2.98,2.74,3.0544999999999995,2.6715,305.44999999999993,267.15,-38.299999999999955,-0.12538877066623,1,1,LOSS
2026-03-04:NRG:SHORT,2026-03-04,NRG,SHORT,put,NRG260313P00162500,7,9,OTM_1,164.0,162.35999999999999,162.5,0.025,2026-03-04 10:25:00-05:00,2026-03-04 11:35:00-05:00,3.85,4.25,3.9462499999999996,4.14375,394.62499999999994,414.375,19.75000000000002,0.05004751346214764,2,1,WIN
2026-03-04:OXY:SHORT,2026-03-04,OXY,SHORT,put,OXY260313P00053000,7,9,OTM_1,53.075,52.544250000000005,53.0,0.025,2026-03-04 09:40:00-05:00,2026-03-04 15:55:00-05:00,1.56,1.25,1.599,1.21875,159.9,121.875,-38.025,-0.23780487804878048,5,1,LOSS
2026-03-04:PM:SHORT,2026-03-04,PM,SHORT,put,PM260313P00175000,7,9,OTM_1,177.58,175.8042,175.0,0.025,2026-03-04 11:40:00-05:00,2026-03-04 13:15:00-05:00,1.8,1.65,1.845,1.60875,184.5,160.875,-23.625000000000007,-0.12804878048780488,1,5,LOSS
2026-03-04:RCL:LONG,2026-03-04,RCL,LONG,call,RCL260313C00300000,7,9,OTM_1,297.59,300.5659,300.0,0.025,2026-03-04 10:20:00-05:00,2026-03-04 15:40:00-05:00,7.34,4.08,7.523499999999999,3.9779999999999998,752.3499999999999,397.79999999999995,-354.54999999999995,-0.47125672891606296,2,1,LOSS
2026-03-04:RDDT:LONG,2026-03-04,RDDT,LONG,call,RDDT260313C00147000,7,9,OTM_1,145.83,147.28830000000002,147.0,0.025,2026-03-04 09:40:00-05:00,2026-03-04 14:55:00-05:00,6.3,6.4,6.4575,6.24,645.75,624.0,-21.749999999999936,-0.03368176538908241,1,1,LOSS
