signal_id,trading_date,symbol,trade_direction,option_type,underlying_entry_price,target_dte,moneyness_mode,target_strike,option_symbol,expiration_date,actual_dte,strike_price,contract_size,contract_found
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,7,ATM,130.96,,,,,,False
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,7,ITM_1,132.2696,,,,,,False
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,7,ITM_2,133.57920000000001,,,,,,False
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,7,OTM_1,129.65040000000002,,,,,,False
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,7,OTM_2,128.3408,,,,,,False
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,14,ATM,130.96,APH260320P00130000,2026-03-20,17,130.0,100,True
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,14,ITM_1,132.2696,APH260320P00130000,2026-03-20,17,130.0,100,True
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,14,ITM_2,133.57920000000001,APH260320P00135000,2026-03-20,17,135.0,100,True
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,14,OTM_1,129.65040000000002,APH260320P00130000,2026-03-20,17,130.0,100,True
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,14,OTM_2,128.3408,APH260320P00130000,2026-03-20,17,130.0,100,True
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,21,ATM,130.96,APH260320P00130000,2026-03-20,17,130.0,100,True
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,21,ITM_1,132.2696,APH260320P00130000,2026-03-20,17,130.0,100,True
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,21,ITM_2,133.57920000000001,APH260320P00135000,2026-03-20,17,135.0,100,True
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,21,OTM_1,129.65040000000002,APH260320P00130000,2026-03-20,17,130.0,100,True
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,21,OTM_2,128.3408,APH260320P00130000,2026-03-20,17,130.0,100,True
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,30,ATM,130.96,,,,,,False
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,30,ITM_1,132.2696,,,,,,False
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,30,ITM_2,133.57920000000001,,,,,,False
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,30,OTM_1,129.65040000000002,,,,,,False
2026-03-03:APH:SHORT,2026-03-03,APH,SHORT,put,130.96,30,OTM_2,128.3408,,,,,,False
2026-03-03:APO:LONG,2026-03-03,APO,LONG,call,100.94,7,ATM,100.94,APO260313C00101000,2026-03-13,10,101.0,100,True
2026-03-03:APO:LONG,2026-03-03,APO,LONG,call,100.94,7,ITM_1,99.9306,APO260313C00100000,2026-03-13,10,100.0,100,True
2026-03-03:APO:LONG,2026-03-03,APO,LONG,call,100.94,7,ITM_2,98.9212,APO260313C00099000,2026-03-13,10,99.0,100,True
2026-03-03:APO:LONG,2026-03-03,APO,LONG,call,100.94,7,OTM_1,101.9494,APO260313C00102000,2026-03-13,10,102.0,100,True
2026-03-03:APO:LONG,2026-03-03,APO,LONG,call,100.94,7,OTM_2,102.9588,APO260313C00103000,2026-03-13,10,103.0,100,True
2026-03-03:APO:LONG,2026-03-03,APO,LONG,call,100.94,14,ATM,100.94,APO260320C00101000,2026-03-20,17,101.0,100,True
2026-03-03:APO:LONG,2026-03-03,APO,LONG,call,100.94,14,ITM_1,99.9306,APO260320C00100000,2026-03-20,17,100.0,100,True
