scenario,trading_date,trades,wins,daily_return,win_rate
0_SAME_100_NEXT,2026-03-03,15,8,0.20182474053255778,0.5333333333333333
0_SAME_100_NEXT,2026-03-04,29,12,-0.028687216157597208,0.41379310344827586
0_SAME_100_NEXT,2026-03-05,20,10,0.12703349484032564,0.5
0_SAME_100_NEXT,2026-03-06,49,27,0.10813831790152828,0.5510204081632653
100_SAME_0_NEXT,2026-03-03,15,8,0.1234339984464135,0.5333333333333333
100_SAME_0_NEXT,2026-03-04,29,11,-0.0507319634088947,0.3793103448275862
100_SAME_0_NEXT,2026-03-05,20,10,0.1063656363292798,0.5
100_SAME_0_NEXT,2026-03-06,49,27,0.09425342321846328,0.5510204081632653
25_SAME_75_NEXT,2026-03-03,15,8,0.1822270550110217,0.5333333333333333
25_SAME_75_NEXT,2026-03-04,29,12,-0.034198402970421586,0.41379310344827586
25_SAME_75_NEXT,2026-03-05,20,10,0.12186653021256419,0.5
25_SAME_75_NEXT,2026-03-06,49,27,0.10466709423076204,0.5510204081632653
50_SAME_50_NEXT,2026-03-03,15,8,0.16262936948948564,0.5333333333333333
50_SAME_50_NEXT,2026-03-04,29,12,-0.03970958978324595,0.41379310344827586
50_SAME_50_NEXT,2026-03-05,20,10,0.11669956558480273,0.5
50_SAME_50_NEXT,2026-03-06,49,27,0.10119587055999578,0.5510204081632653
75_SAME_25_NEXT,2026-03-03,15,8,0.14303168396794957,0.5333333333333333
75_SAME_25_NEXT,2026-03-04,29,11,-0.04522077659607032,0.3793103448275862
75_SAME_25_NEXT,2026-03-05,20,10,0.11153260095704125,0.5
75_SAME_25_NEXT,2026-03-06,49,27,0.09772464688922954,0.5510204081632653
