symbol,theme,event_return_5d,universe_return_5d,relative_return_5d,impact,positive_days,negative_days,best_day,best_day_return,worst_day,worst_day_return,max_intraday_up,max_intraday_down,avg_intraday_range
NOW,Technology,0.19799451750864328,0.012874782683796271,0.185119734824847,STRONG POSITIVE,5,0,2026-03-05,0.05404577480197803,2026-03-04,0.016699410609037235,0.06839963240120772,-0.005953505953505855,0.051489496798736226
PANW,Technology,0.12290508702985159,0.012874782683796271,0.11003030434605532,STRONG POSITIVE,5,0,2026-03-03,0.047321997518194214,2026-03-02,0.013262241420038512,0.051681926417815216,-0.013363479904160869,0.037323077871772845
IBM,Technology,0.11663391541522539,0.012874782683796271,0.10375913273142912,STRONG POSITIVE,5,0,2026-03-03,0.038249978844038246,2026-03-06,0.009793211080764586,0.04356892230576448,-0.013850955911041796,0.03335354509177697
RKLB,High Beta Growth,0.1141886707751123,0.012874782683796271,0.10131388809131603,STRONG POSITIVE,4,1,2026-03-02,0.06154537286612749,2026-03-05,-0.012972363226170347,0.10071836974050741,-0.05005640157924418,0.08542250745059694
ORCL,Technology,0.10772281295964437,0.012874782683796271,0.0948480302758481,STRONG POSITIVE,5,0,2026-03-02,0.05064450235965334,2026-03-06,0.0019319558597203912,0.05754736916249903,-0.021564922796273422,0.049283533392182034
SNPS,Technology,0.10429266844923024,0.012874782683796271,0.09141788576543397,STRONG POSITIVE,5,0,2026-03-05,0.03229947023267754,2026-03-06,0.004188902278074336,0.04417839389484013,-0.018979073424458703,0.043988549729773486
BKNG,Consumer,0.10402095203948858,0.012874782683796271,0.09114616935569231,STRONG POSITIVE,5,0,2026-03-02,0.03132592592592598,2026-03-06,0.007589641434262884,0.042379146290724146,-0.014106905710491335,0.03527566839256342
ADBE,Technology,0.09759295106076249,0.012874782683796271,0.08471816837696622,STRONG POSITIVE,5,0,2026-03-03,0.040069084628670204,2026-03-04,0.00862339580832816,0.04690078679715981,-0.014904617578891055,0.03152630035782309
AMZN,Technology,0.08057553977640342,0.012874782683796271,0.06770075709260714,STRONG POSITIVE,4,1,2026-03-04,0.029854645639369126,2026-03-06,-0.009414007112805267,0.03332224966748987,-0.011970897933567315,0.028501174601923075
SPGI,Financials,0.06916390263674832,0.012874782683796271,0.05628911995295205,STRONG POSITIVE,5,0,2026-03-02,0.018486583431054582,2026-03-04,0.004701293137464813,0.023980321491905432,-0.008413501826835978,0.02171566813394841
AMD,Semiconductors,0.06865004583101086,0.012874782683796271,0.05577526314721459,STRONG POSITIVE,3,2,2026-03-04,0.050677344704750604,2026-03-06,-0.013382556529764722,0.052757481993811695,-0.01983543552838607,0.04626241320818205
NVDA,Semiconductors,0.06684715248798279,0.012874782683796271,0.053972369804186515,STRONG POSITIVE,4,1,2026-03-02,0.04341856873176586,2026-03-06,-0.012119190571492133,0.04945369258051602,-0.018209910605893498,0.03317962192881372
MSFT,Technology,0.06577154233827498,0.012874782683796271,0.05289675965447871,STRONG POSITIVE,4,1,2026-03-03,0.027232602805937534,2026-03-06,-0.0014536481682810853,0.03454635647871385,-0.005409120413384039,0.023271843295049343
AVGO,Semiconductors,0.05650690232354294,0.012874782683796271,0.04363211963974667,POSITIVE,5,0,2026-03-02,0.031059515917799763,2026-03-04,0.0038145586349895844,0.04652934365287331,-0.020050961596796757,0.03819522436459568
ENPH,High Beta Growth,0.056048514792087056,0.012874782683796271,0.043173732108290785,POSITIVE,3,2,2026-03-02,0.08475809385230981,2026-03-05,-0.023501483679525315,0.10876682429974527,-0.03952522255192881,0.05620471507651814
BA,Aerospace,0.05575187014802929,0.012874782683796271,0.04287708746423302,POSITIVE,3,2,2026-03-06,0.05627428571428572,2026-03-05,-0.017279143343879255,0.060022857142857156,-0.03440341600477892,0.03540652982097079
NFLX,Consumer,0.05573333522096524,0.012874782683796271,0.04285855253716897,POSITIVE,4,1,2026-03-02,0.018467995802728288,2026-03-06,-0.0037732052120541537,0.02906610703043011,-0.0198722141168185,0.027341586570381837
VRT,Industrials,0.05453786159311358,0.012874782683796271,0.04166307890931731,POSITIVE,4,1,2026-03-02,0.03068000000000004,2026-03-06,-0.001857355126300142,0.04434733349518516,-0.03350327749453741,0.0567487610404529
TSLA,Consumer,0.05435941761818386,0.012874782683796271,0.04148463493438759,POSITIVE,3,2,2026-03-02,0.033500730226242004,2026-03-03,-0.006239084765496394,0.03631914730072494,-0.02452605735402058,0.029484528340810855
UBER,Consumer,0.05434819856068085,0.012874782683796271,0.04147341587688458,POSITIVE,4,1,2026-03-02,0.029260363045245263,2026-03-05,-0.015210863036950073,0.036169059875372556,-0.01899725812769293,0.03510712936234359
CRM,Technology,0.053498979287631254,0.012874782683796271,0.04062419660383498,POSITIVE,4,1,2026-03-05,0.03470598813163095,2026-03-04,-0.015632570831101922,0.04973411770750391,-0.02105080459200126,0.034257085793461116
MA,Financials,0.05318252534420087,0.012874782683796271,0.0403077426604046,POSITIVE,4,1,2026-03-02,0.022620215897939167,2026-03-04,-0.0020035491441984243,0.032610402355250256,-0.015112818050888155,0.022518393146310257
INTC,Semiconductors,0.05159623134945579,0.012874782683796271,0.03872144866565952,POSITIVE,3,2,2026-03-04,0.03357531760435584,2026-03-06,-0.02808548729998883,0.04627949183303093,-0.0314423184513819,0.045287168833711
BAC,Financials,0.05064055638330389,0.012874782683796271,0.03776577369950762,POSITIVE,4,1,2026-03-03,0.024390243902439046,2026-03-05,-0.0016044925792217946,0.03525312564049998,-0.01905252317198758,0.029551434727881264
META,Technology,0.04633212252517516,0.012874782683796271,0.033457339841378886,POSITIVE,3,2,2026-03-02,0.026448461623030717,2026-03-06,-0.004631058968817547,0.03621743022726198,-0.018323698549499667,0.028990165911537025
MS,Financials,0.04624983351286538,0.012874782683796271,0.03337505082906911,POSITIVE,3,2,2026-03-02,0.027253152876038023,2026-03-05,-0.018064282261962328,0.04275607505382961,-0.030026582890285147,0.03620344205787411
GS,Financials,0.0444811051532199,0.012874782683796271,0.03160632246942363,POSITIVE,3,2,2026-03-03,0.03880881103970024,2026-03-05,-0.03062586312943183,0.04510929471927905,-0.0456428646032796,0.0398166450860459
SCHW,Financials,0.04320912165800528,0.012874782683796271,0.030334338974209007,POSITIVE,3,2,2026-03-06,0.015674984005118242,2026-03-05,-0.001465815097895562,0.027169289663972807,-0.014029944508428427,0.02427422958439913
VZ,Communications,0.0430460156577388,0.012874782683796271,0.03017123297394253,POSITIVE,3,1,2026-03-03,0.024468834961232533,2026-03-02,-0.0004001600640255454,0.029000100694793973,-0.013600782778865006,0.0208440070554456
CDNS,Technology,0.040670312524182295,0.012874782683796271,0.027795529840386024,POSITIVE,4,1,2026-03-02,0.01919975811328345,2026-03-05,-0.010495049504950504,0.027743547044129846,-0.017821782178217727,0.03271288470106994
CEG,Utilities,0.04003446152833834,0.012874782683796271,0.027159678844542068,POSITIVE,3,2,2026-03-05,0.03834974214721054,2026-03-06,-0.023684210526315863,0.039913204618527987,-0.027861077111383192,0.038008443178989416
PWR,Industrials,0.03868331529754365,0.012874782683796271,0.02580853261374738,POSITIVE,3,2,2026-03-02,0.0286222349951053,2026-03-05,-0.02011135301045719,0.03725320921852715,-0.04516578036332475,0.03513210383817591
QCOM,Semiconductors,0.03856169078292271,0.012874782683796271,0.025686908099126438,POSITIVE,3,2,2026-03-02,0.0231090150553237,2026-03-05,-0.006380047850358839,0.030328314892073438,-0.015370115275864626,0.026179591941208048
CSCO,Technology,0.03719437884038124,0.012874782683796271,0.024319596156584966,POSITIVE,3,2,2026-03-04,0.02303214376107321,2026-03-06,-0.0013334179947933622,0.024360921285750514,-0.013270683852943055,0.022664557775947003
JPM,Financials,0.03445794018032022,0.012874782683796271,0.021583157496523953,POSITIVE,3,2,2026-03-03,0.03214494447691418,2026-03-05,-0.014738962565049696,0.03943342386633186,-0.018029209333557228,0.026281971091693456
ISRG,Healthcare,0.0325170002215831,0.012874782683796271,0.019642217537786832,LIMITED / MARKET-LIKE,5,0,2026-03-03,0.01663633203132986,2026-03-05,0.00019130469804062855,0.017822450356858033,-0.022901075115117964,0.0229616011854215
GOOG,Technology,0.03242132836430023,0.012874782683796271,0.019546545680503957,LIMITED / MARKET-LIKE,4,1,2026-03-03,0.017705643673921134,2026-03-05,-0.007126596060575974,0.019181113980081266,-0.01633178263882007,0.01909915416724579
MPC,Energy,0.03169699609890242,0.012874782683796271,0.018822213415106148,LIMITED / MARKET-LIKE,3,2,2026-03-04,0.03779438725144568,2026-03-05,-0.03350962179458683,0.04305927701781598,-0.04804230923070085,0.04506497212294445
D,Utilities,0.030547348153796783,0.012874782683796271,0.017672565470000512,LIMITED / MARKET-LIKE,4,0,2026-03-05,0.01221864951768481,2026-03-04,0.0,0.01802962009014819,-0.020927237604636106,0.02090436470245689
GOOGL,Technology,0.030432398603945643,0.012874782683796271,0.017557615920149372,LIMITED / MARKET-LIKE,4,1,2026-03-03,0.017493297587131362,2026-03-05,-0.00701239130793474,0.018565683646112774,-0.01658224297523403,0.019468976478774946
EOG,Energy,0.03032158592451517,0.012874782683796271,0.0174468032407189,LIMITED / MARKET-LIKE,3,2,2026-03-04,0.021150929842764787,2026-03-03,-0.014777187716462858,0.022523744911804533,-0.02255060417147703,0.029518843168138485
V,Financials,0.02987637123966147,0.012874782683796271,0.0170015885558652,LIMITED / MARKET-LIKE,4,1,2026-03-03,0.015405075917100719,2026-03-04,-0.0013091453151300447,0.019694000126446287,-0.013702090042306048,0.021650138969611588
TGT,Consumer,0.029591059488506044,0.012874782683796271,0.016716276804709773,LIMITED / MARKET-LIKE,4,1,2026-03-03,0.0413037854617575,2026-03-04,-0.04189944134078216,0.05535914460636371,-0.04321628092577812,0.039015217478638495
OKE,Energy,0.02933058656641463,0.012874782683796271,0.01645580388261836,LIMITED / MARKET-LIKE,4,1,2026-03-02,0.021893912424350237,2026-03-03,-0.021252021252021303,0.02847988608045582,-0.02644952644952636,0.028951437565458392
IREN,High Beta Growth,0.028862085441333507,0.012874782683796271,0.015987302757537236,LIMITED / MARKET-LIKE,2,3,2026-03-04,0.08001479472321527,2026-03-06,-0.05776636713735561,0.08950807545308836,-0.05827984595635438,0.08353830468276584
