strategy,trading_date,symbol,direction,entry_price,exit_price,signal_value,return
OPENING_MOMENTUM,2026-03-02,ADBE,LONG,260.805,260.91,0.0124417701863353,0.0004025996434118273
OPENING_REVERSAL,2026-03-02,ADBE,SHORT,260.805,260.91,0.0124417701863353,-0.0004025996434118273
OPENING_MOMENTUM,2026-03-02,AMAT,LONG,369.37,372.075,0.008794210023214566,0.007323280179765579
OPENING_REVERSAL,2026-03-02,AMAT,SHORT,369.37,372.075,0.008794210023214566,-0.007323280179765579
OPENING_MOMENTUM,2026-03-02,AMGN,LONG,389.95,385.65,0.008573978041304997,-0.011027054750609055
OPENING_REVERSAL,2026-03-02,AMGN,SHORT,389.95,385.65,0.008573978041304997,0.011027054750609055
OPENING_MOMENTUM,2026-03-02,AMZN,LONG,207.03,208.26,0.012619222303741795,0.0059411679466743195
OPENING_REVERSAL,2026-03-02,AMZN,SHORT,207.03,208.26,0.012619222303741795,-0.0059411679466743195
OPENING_MOMENTUM,2026-03-02,AVGO,LONG,312.8,318.85,0.011495739623922807,0.019341432225064015
OPENING_REVERSAL,2026-03-02,AVGO,SHORT,312.8,318.85,0.011495739623922807,-0.019341432225064015
OPENING_MOMENTUM,2026-03-02,BAC,LONG,49.65,49.79,0.017626562820250102,0.0028197381671701827
OPENING_REVERSAL,2026-03-02,BAC,SHORT,49.65,49.79,0.017626562820250102,-0.0028197381671701827
VWAP_MOMENTUM,2026-03-02,BAC,LONG,49.65,49.79,0.008774648818846043,0.0028197381671701827
OPENING_MOMENTUM,2026-03-02,BLK,LONG,1052.53,1068.18,0.013490351654277255,0.0148689348522133
OPENING_REVERSAL,2026-03-02,BLK,SHORT,1052.53,1068.18,0.013490351654277255,-0.0148689348522133
OPENING_MOMENTUM,2026-03-02,BRK.B,SHORT,485.87,480.06,-0.01764069592292683,0.011957931133842359
OPENING_REVERSAL,2026-03-02,BRK.B,LONG,485.87,480.06,-0.01764069592292683,-0.011957931133842359
OPENING_MOMENTUM,2026-03-02,CAT,LONG,738.54,752.05,0.007846722799164763,0.018292848051561172
OPENING_REVERSAL,2026-03-02,CAT,SHORT,738.54,752.05,0.007846722799164763,-0.018292848051561172
VWAP_MOMENTUM,2026-03-02,CAT,LONG,738.54,752.05,0.006746082174561963,0.018292848051561172
OPENING_MOMENTUM,2026-03-02,CDNS,LONG,300.55,303.375,0.009709064032789039,0.00939943437032098
OPENING_REVERSAL,2026-03-02,CDNS,SHORT,300.55,303.375,0.009709064032789039,-0.00939943437032098
VWAP_MOMENTUM,2026-03-02,CDNS,LONG,300.55,303.375,0.00790083130794339,0.00939943437032098
VWAP_MOMENTUM,2026-03-02,CEG,SHORT,326.59,327.21,-0.005879862822130266,-0.001898404727640246
VWAP_MOMENTUM,2026-03-02,COP,LONG,118.18,118.25,0.008308441630175523,0.0005923168048738159
VWAP_MOMENTUM,2026-03-02,COST,SHORT,1008.7,1002.76,-0.0057846517033951494,0.0058887677208288025
OPENING_MOMENTUM,2026-03-02,CRM,LONG,194.265,192.95,0.009588400374181516,-0.006769104058888642
OPENING_REVERSAL,2026-03-02,CRM,SHORT,194.265,192.95,0.009588400374181516,0.006769104058888642
VWAP_MOMENTUM,2026-03-02,CVX,LONG,189.76,189.52,0.006693520029187328,-0.001264755480607005
VWAP_MOMENTUM,2026-03-02,CW,LONG,720.1,724.655,0.005710685752805533,0.0063255103457853235
OPENING_MOMENTUM,2026-03-02,DVN,SHORT,44.74,44.93,-0.013668430335096904,-0.004246759052302096
OPENING_REVERSAL,2026-03-02,DVN,LONG,44.74,44.93,-0.013668430335096904,0.004246759052302096
OPENING_MOMENTUM,2026-03-02,ELV,SHORT,310.8,294.06,-0.016549061797930475,0.0538610038610039
OPENING_REVERSAL,2026-03-02,ELV,LONG,310.8,294.06,-0.016549061797930475,-0.0538610038610039
OPENING_MOMENTUM,2026-03-02,EMR,LONG,152.22,152.07,0.017377355968453356,-0.0009854158454868367
OPENING_REVERSAL,2026-03-02,EMR,SHORT,152.22,152.07,0.017377355968453356,0.0009854158454868367
VWAP_MOMENTUM,2026-03-02,EMR,LONG,152.22,152.07,0.013578277876908462,-0.0009854158454868367
OPENING_MOMENTUM,2026-03-02,ENPH,LONG,43.96,44.73,0.06608463683763799,0.01751592356687892
OPENING_REVERSAL,2026-03-02,ENPH,SHORT,43.96,44.73,0.06608463683763799,-0.01751592356687892
VWAP_MOMENTUM,2026-03-02,ENPH,LONG,43.96,44.73,0.01475482242493742,0.01751592356687892
VWAP_MOMENTUM,2026-03-02,EOG,LONG,126.845,128.66,0.01283393472320049,0.01430880208128027
OPENING_MOMENTUM,2026-03-02,EQT,SHORT,61.26,61.61,-0.015033362810515372,-0.005713352921971948
OPENING_REVERSAL,2026-03-02,EQT,LONG,61.26,61.61,-0.015033362810515372,0.005713352921971948
OPENING_MOMENTUM,2026-03-02,FANG,SHORT,176.165,178.92,-0.03740232774165342,-0.01563874776487939
OPENING_REVERSAL,2026-03-02,FANG,LONG,176.165,178.92,-0.03740232774165342,0.01563874776487939
VWAP_MOMENTUM,2026-03-02,FANG,SHORT,176.165,178.92,-0.005497866213783564,-0.01563874776487939
VWAP_MOMENTUM,2026-03-02,GE,LONG,340.69,345.695,0.008672699048262844,0.014690774604479095
OPENING_MOMENTUM,2026-03-02,GS,LONG,858.98,861.32,0.02502356773785519,0.0027241612144637273
OPENING_REVERSAL,2026-03-02,GS,SHORT,858.98,861.32,0.02502356773785519,-0.0027241612144637273
VWAP_MOMENTUM,2026-03-02,GS,LONG,858.98,861.32,0.008339615958714353,0.0027241612144637273
OPENING_MOMENTUM,2026-03-02,HAL,SHORT,35.95,35.96,-0.02256661228928758,-0.00027816411682879405
OPENING_REVERSAL,2026-03-02,HAL,LONG,35.95,35.96,-0.02256661228928758,0.00027816411682879405
VWAP_MOMENTUM,2026-03-02,HAL,LONG,35.95,35.96,0.014715396833011374,0.00027816411682879405
