theme,stocks,average_return_5d,median_return_5d,positive_stocks_pct
Technology,14,0.08100275390597511,0.0731735410573392,1.0
High Beta Growth,3,0.06636642366951095,0.056048514792087056,1.0
Aerospace,1,0.05575187014802929,0.05575187014802929,1.0
Communications,1,0.0430460156577388,0.0430460156577388,1.0
Financials,10,0.03724015654816174,0.04384511340561259,0.9
Semiconductors,10,0.012438525107207842,0.016623670593276796,0.5
Real Estate,1,0.012257879616273781,0.012257879616273781,1.0
Consumer,15,0.010459033803239596,0.005221224252263568,0.6
Utilities,11,0.01000029727307452,0.01071649964760657,0.6363636363636364
Defense,8,-0.0009458959368826292,9.216017100738272e-05,0.5
Industrials,12,-0.005806470521991763,-0.011567136021194524,0.25
Other,1,-0.006698711537078683,-0.006698711537078683,0.0
Healthcare,15,-0.015408389556858016,-0.012710464426798573,0.3333333333333333
Materials,1,-0.019115644949904254,-0.019115644949904254,0.0
Energy,16,-0.01919629140710767,-0.011513363359255069,0.3125
